Code,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CONT-A,AFRICA,,,,,,,,,,
CONT-A01,Algeria,160.10,164.77,172.65,183.70,193.97,202.25,206.20,211.18,226.44,247.42
CONT-A02,Angola,26.51,28.45,31.11,40.66,52.79,63.15,73.94,90.40,113.69,
CONT-A03,Benin,100.55,100.00,100.22,99.42,101.18,101.83,101.12,104.17,105.98,107.41
CONT-A04,Botswana,83.61,87.30,89.97,92.50,95.56,98.66,101.39,103.31,110.79,123.71
CONT-A05,Burkina Faso,101.18,100.92,101.65,102.10,103.62,105.64,102.23,104.15,107.96,123.39
CONT-A06,Burundi,85.09,88.84,93.77,98.98,114.87,111.63,110.87,118.98,128.98,153.23
CONT-A07,Cabo Verde,99.50,99.26,99.39,97.99,98.76,100.00,101.11,101.72,103.61,
CONT-A08,Cameroon,104.48,106.42,109.27,110.23,110.93,112.12,114.87,117.67,120.34,127.86
CONT-A09,Central African Rep.,74.62,85.74,86.94,91.24,95.06,96.59,99.18,100.88,105.18,111.05
CONT-A10,Chad,98.35,100.00,104.38,103.55,101.96,106.32,105.28,109.98,109.13,115.45
CONT-A11,Chile,83.99,87.96,91.78,95.26,97.34,99.71,102.26,105.37,110.14,122.96
CONT-A12,"Congo, Dem. Rep. of the",123.23,124.76,125.69,129.31,,,,,,
CONT-A13,Djibouti,100.96,102.31,101.45,104.22,104.82,104.97,108.46,110.38,111.69,117.47
CONT-A14,"Egypt, Arab Rep. of",45.99,50.63,55.88,63.59,82.36,94.22,102.84,108.03,113.66,129.46
CONT-A15,"Equatorial Guinea, Rep. of",124.52,129.88,132.06,133.93,134.92,136.35,138.44,145.04,144.90,151.83
CONT-A16,"Ethiopia, The Federal Dem. Rep. of",78.94,84.38,92.46,98.59,109.12,124.22,143.86,173.14,219.61,
CONT-A17,Gabon,85.84,89.86,89.56,91.44,93.87,98.33,100.75,102.11,103.22,107.59
CONT-A18,"Gambia, The",64.65,68.49,73.16,78.44,84.75,90.27,96.70,102.43,109.98,122.64
CONT-A19,Ghana,40.65,46.95,55.00,64.60,72.59,78.26,83.85,92.14,101.32,132.99
CONT-A20,Guinea,59.50,63.16,70.60,76.37,83.18,91.35,100.00,110.60,124.53,137.60
CONT-A21,Kenya,71.57,76.49,81.52,86.66,93.60,97.99,103.12,108.69,115.33,124.16
CONT-A22,"Lesotho, Kingdom of",62.18,65.52,67.63,72.09,75.29,78.87,82.96,87.09,92.36,100.00
