,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,100.82,100.02,98.60,98.49,93.64,98.01,98.08,99.70,99.06,98.79
Botswana,108.00,108.35,108.67,108.82,109.41,104.35,100.14,100.68,102.23,103.20
Burkina Faso,,,99.98,109.04,110.83,112.33,98.60,98.78,98.76,98.73
Burundi,84.18,84.50,99.53,99.98,100.52,101.40,101.80,101.46,103.54,115.28
Cabo Verde,99.07,99.77,99.77,99.77,99.77,100.00,99.75,98.96,99.89,
Cameroon,96.39,93.99,91.43,89.39,90.02,90.23,90.48,91.07,91.47,92.16
Central African Rep.,,,,,,,,99.85,100.08,
Chad,64.21,64.22,100.00,90.09,96.72,96.32,96.22,105.80,108.10,108.10
Chile,101.44,100.07,99.44,99.69,98.84,98.04,96.40,93.80,93.30,89.58
"Congo, Dem. Rep. of the",101.28,101.25,101.83,107.23,,,,,,
Djibouti,100.02,100.19,98.19,96.50,94.38,93.19,94.03,94.05,,
"Egypt, Arab Rep. of",87.25,88.60,88.48,89.03,93.29,99.98,100.70,104.11,104.62,105.45
"Equatorial Guinea, Rep. of",100.07,99.24,96.48,115.91,116.35,118.77,120.95,122.46,122.49,124.03
"Ethiopia, The Federal Dem. Rep. of",99.12,99.17,101.50,100.35,101.75,105.22,103.86,104.88,121.00,
Gabon,135.22,137.63,107.90,82.63,82.48,94.83,100.03,102.07,102.43,103.68
"Gambia, The",60.96,61.16,61.53,61.77,61.97,62.11,90.33,96.73,96.33,96.96
Guinea,101.46,99.70,99.31,99.31,99.31,99.48,100.00,100.00,172.03,238.59
"Lesotho, Kingdom of",98.32,98.32,98.32,98.32,98.34,97.61,98.55,98.94,99.29,100.00
Liberia,73.83,74.64,68.20,67.69,72.62,89.82,,,,
"Madagascar, Rep. of",,,,100.03,97.79,100.55,101.24,100.80,102.19,103.03
Malawi,,72.98,78.60,83.73,87.34,91.59,93.97,96.54,99.10,100.85
Mali,116.88,115.89,113.91,114.27,106.85,95.74,93.85,80.44,83.11,
"Mauritania, Islamic Rep. of",135.55,135.55,119.64,102.02,98.58,100.34,99.99,101.77,102.63,103.48
Mauritius,88.27,87.90,84.58,83.37,83.41,95.43,99.08,98.65,98.78,98.90
Morocco,108.89,103.90,103.99,103.86,103.73,103.73,104.10,103.93,103.69,104.03
"Mozambique, Rep. of",97.50,96.39,97.20,100.00,102.59,103.67,103.10,103.20,103.29,103.50
Namibia,100.35,99.81,100.60,103.18,106.89,107.03,108.25,110.83,112.56,111.91
Nigeria,118.46,123.57,127.40,133.68,138.45,146.44,157.75,171.66,189.66,210.93
Rwanda,102.23,100.25,100.09,102.30,103.20,102.47,102.47,102.46,102.46,103.41
Senegal,91.89,95.32,95.25,96.02,93.95,88.27,88.83,89.88,86.62,85.01
Seychelles,104.38,104.66,105.64,104.48,99.79,102.51,102.60,107.52,,
Sierra Leone,61.21,62.65,65.61,69.22,80.89,83.19,83.50,89.29,93.25,102.36
Somalia,,,102.14,99.79,94.37,94.37,96.18,100.17,102.85,103.03
South Africa,103.21,102.46,101.52,101.43,100.26,100.77,101.07,100.87,100.36,99.74
"South Sudan, Rep. of",95.68,90.17,108.10,488.23,"1,869.47","3,402.60","4,513.52","7,863.45","7,009.66","5,102.59"
Sudan,193.33,274.08,368.13,503.78,577.70,908.82,"1,107.04",,"11,628.53","19,162.09"
Togo,100.09,99.32,99.39,95.49,92.96,94.21,91.74,95.47,101.80,101.67
Tunisia,103.60,103.08,100.00,99.20,100.58,102.34,102.24,103.42,104.71,107.00
Zambia,107.09,110.78,113.43,123.47,127.42,129.66,131.50,133.85,138.58,141.47
Zimbabwe,3.29,3.15,2.71,2.67,2.66,2.65,5.14,72.98,151.56,222.40
