,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,100.31,100.01,100.54,100.67,99.33,99.62,101.34,102.95,103.01,103.43
Botswana,76.84,82.53,87.82,91.05,94.85,100.00,103.09,107.99,109.57,112.69
Burkina Faso,,,101.35,101.48,102.02,103.48,105.31,107.53,109.08,112.60
Burundi,95.00,95.96,98.44,99.68,113.83,136.55,139.58,141.83,149.00,151.79
Cabo Verde,97.90,97.19,96.26,96.33,98.04,100.00,100.11,99.83,98.55,
Cameroon,106.40,107.53,109.91,112.77,113.90,115.29,116.70,117.48,118.87,121.88
Central African Rep.,,,,,,,,100.62,101.60,
Chad,70.18,75.54,101.55,110.92,111.39,121.96,155.64,177.27,186.80,187.15
Chile,78.84,83.45,87.89,92.23,96.34,100.24,104.73,108.67,111.73,118.75
"Congo, Dem. Rep. of the",104.01,105.17,106.15,109.17,,,,,,
Djibouti,99.99,96.42,92.42,92.02,93.63,96.98,96.98,96.98,,
"Egypt, Arab Rep. of",47.05,51.36,62.01,69.15,79.03,93.40,108.93,132.14,155.79,175.03
"Equatorial Guinea, Rep. of",114.87,117.34,125.94,142.90,150.01,152.54,155.29,160.02,163.86,165.16
"Ethiopia, The Federal Dem. Rep. of",86.34,87.05,91.36,99.93,103.21,115.71,130.62,136.44,163.09,
Gabon,55.67,56.97,56.70,58.91,66.35,85.02,100.71,103.41,106.02,107.55
"Gambia, The",95.87,96.43,97.17,97.74,98.05,98.87,99.45,114.23,193.17,255.39
Guinea,76.04,77.94,81.52,86.32,91.22,96.28,100.00,100.00,101.48,117.60
"Lesotho, Kingdom of",69.70,74.63,77.52,81.31,86.10,88.19,88.97,92.58,94.26,100.00
Liberia,100.00,100.00,100.00,100.00,100.00,100.00,,,,
"Madagascar, Rep. of",81.84,89.97,95.50,99.98,105.28,112.24,117.50,120.42,126.84,133.40
Malawi,,49.78,63.76,77.50,84.56,87.76,92.74,96.93,99.46,102.53
Mali,92.88,93.97,94.11,94.32,98.53,104.43,109.03,108.15,112.80,
"Mauritania, Islamic Rep. of",82.76,82.76,83.74,91.53,93.80,98.19,100.02,102.97,104.70,108.25
Mauritius,90.04,91.32,93.06,98.70,102.08,104.16,100.86,103.47,108.91,111.83
Morocco,90.24,93.35,96.00,98.26,100.84,103.33,106.53,109.05,110.75,113.23
"Mozambique, Rep. of",75.62,80.03,90.68,100.00,114.06,120.59,125.93,123.32,123.85,129.19
Namibia,104.04,112.43,117.25,126.10,135.94,149.46,167.18,178.84,180.43,186.11
Nigeria,133.50,142.06,154.49,180.33,207.78,228.68,249.26,272.95,304.99,353.04
Rwanda,94.88,100.03,102.68,104.81,129.58,133.31,136.06,139.55,148.46,162.56
Senegal,101.53,102.36,102.89,103.63,104.75,105.86,107.97,109.10,111.03,112.84
Seychelles,66.49,66.49,88.77,92.53,95.23,95.76,103.52,107.79,,
Sierra Leone,33.60,34.17,35.71,37.77,40.09,41.03,39.77,60.25,73.49,95.93
Somalia,,,100.20,101.89,103.30,100.26,105.73,107.67,109.80,109.11
South Africa,58.78,63.93,69.88,73.65,78.53,83.73,89.35,95.05,99.33,103.67
"South Sudan, Rep. of",156.78,162.71,162.90,162.90,643.82,749.03,739.41,"1,909.23",758.23,507.35
Sudan,274.12,378.47,502.23,667.22,781.79,907.39,"1,247.22",,"6,334.31","17,645.71"
Togo,94.20,96.65,99.24,99.86,100.16,104.03,106.73,110.73,111.14,109.59
Tunisia,92.17,94.79,100.00,108.84,115.13,124.32,132.44,140.63,150.29,164.02
Zambia,141.33,155.76,163.85,191.43,205.37,212.84,225.49,228.61,240.91,246.37
Zimbabwe,8.36,9.69,9.71,10.72,10.65,10.86,14.36,61.82,118.81,167.95
