,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,125.38,129.90,135.64,142.79,148.80,156.81,164.71,171.35,179.74,190.78
Benin,100.09,100.01,100.55,100.44,103.11,106.70,105.08,106.78,106.80,111.59
Botswana,89.54,94.03,99.76,99.89,97.34,99.37,101.44,103.88,107.16,113.60
Burkina Faso,,,100.19,100.59,99.85,101.03,101.21,101.25,101.23,101.68
Burundi,72.65,85.20,90.88,98.95,108.67,115.59,118.88,122.44,129.18,155.24
Cabo Verde,89.86,90.90,95.96,98.26,98.77,100.00,100.02,101.42,106.34,
Cameroon,103.54,103.94,105.46,106.12,106.44,107.38,109.40,111.08,112.65,119.03
Central African Rep.,,,,,,,,101.06,103.42,
Chad,83.41,88.26,103.80,116.16,112.87,107.61,105.90,111.90,109.50,114.60
Chile,85.53,88.28,93.34,97.86,99.05,99.76,101.44,105.17,110.86,118.10
"Congo, Dem. Rep. of the",115.56,118.24,118.46,120.57,,,,,,
Djibouti,99.88,108.07,98.75,99.73,99.28,97.58,98.38,99.40,,
"Egypt, Arab Rep. of",52.73,57.52,60.19,68.82,88.70,97.84,100.83,104.34,107.61,122.12
"Equatorial Guinea, Rep. of",112.42,119.21,121.84,131.83,131.98,134.66,140.16,146.10,146.80,152.32
"Ethiopia, The Federal Dem. Rep. of",95.95,99.99,100.00,100.00,108.90,130.42,147.34,157.13,204.08,
Gabon,81.78,91.26,90.70,94.45,95.10,99.18,99.76,100.29,102.45,106.95
"Gambia, The",75.41,77.14,79.51,83.80,87.11,91.71,96.06,102.12,103.95,111.59
Guinea,72.06,76.70,85.11,90.09,92.32,94.87,100.00,105.53,128.17,149.80
"Lesotho, Kingdom of",72.52,74.79,78.06,81.14,84.48,87.73,90.58,92.52,95.09,100.00
Liberia,40.24,44.46,48.45,55.26,64.14,88.79,,,,
"Madagascar, Rep. of",90.31,93.33,96.79,99.99,107.59,117.01,123.97,127.48,134.40,165.77
Malawi,,46.66,53.39,62.74,68.25,73.95,79.45,87.83,94.52,109.43
Mali,86.40,86.05,86.47,88.21,105.01,108.07,108.42,109.34,110.28,
"Mauritania, Islamic Rep. of",91.05,93.15,93.84,95.89,97.61,98.79,100.00,100.69,101.77,105.84
Mauritius,90.60,90.53,93.02,95.54,96.07,101.08,103.74,107.55,114.38,126.73
Morocco,95.99,96.76,97.03,97.53,98.09,99.05,100.36,100.82,101.93,107.11
"Mozambique, Rep. of",83.21,83.22,85.51,100.00,117.13,114.76,115.54,122.24,128.35,135.17
Namibia,102.72,107.54,111.44,117.83,123.29,124.27,126.65,130.48,136.64,148.48
Nigeria,139.77,149.82,162.68,181.03,204.40,227.33,248.46,273.51,309.68,359.39
Rwanda,100.47,101.15,102.82,104.64,107.23,109.67,113.41,117.15,124.34,146.04
Senegal,103.13,103.68,103.61,103.67,103.74,103.73,103.75,104.68,107.76,112.39
Seychelles,99.31,100.76,105.06,107.49,107.46,107.95,106.78,110.24,,
Sierra Leone,32.77,34.62,37.58,42.21,51.76,60.91,75.89,79.52,90.79,126.09
Somalia,,,101.53,101.91,101.36,102.41,103.48,107.27,112.83,109.53
South Africa,80.79,83.25,85.19,88.34,90.46,92.68,95.53,97.25,98.59,103.07
"South Sudan, Rep. of",187.98,192.89,324.63,"1,498.71","4,277.81","7,968.35","10,938.28","13,574.12","7,908.47","8,307.24"
Sudan,336.06,489.08,562.76,659.68,803.67,"1,406.98","2,102.17",,"16,181.61","34,642.48"
Togo,103.02,104.70,103.65,104.39,104.48,105.18,108.67,109.50,111.07,117.35
Tunisia,90.09,94.90,100.00,104.42,109.28,118.38,128.90,137.68,143.70,157.10
Zambia,130.26,139.88,157.41,190.09,198.60,209.51,222.45,248.12,295.52,318.39
Zimbabwe,1.53,1.50,1.47,1.43,1.48,1.75,7.21,46.92,88.81,139.96
