,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,133.19,139.05,147.59,157.38,166.28,173.06,178.43,185.49,194.32,208.22
Benin,100.12,99.99,99.69,100.21,100.95,100.51,101.47,101.92,102.49,104.31
Botswana,81.05,87.78,93.30,96.12,98.38,99.49,100.50,101.79,105.26,107.37
Burkina Faso,,,100.08,99.41,100.26,100.28,100.40,100.41,100.54,100.63
Burundi,80.73,87.57,90.22,99.11,102.89,111.57,115.98,118.90,152.33,173.88
Cabo Verde,91.45,92.61,93.56,95.39,98.16,100.00,102.22,107.34,106.78,
Cameroon,100.82,101.57,102.05,101.74,102.03,102.51,103.06,103.29,103.46,103.91
Central African Rep.,,,,,,,,100.66,103.11,
Chad,86.01,86.19,100.71,101.01,101.87,100.98,100.50,100.98,102.80,103.72
Chile,80.08,83.23,88.25,92.78,96.65,99.89,102.41,104.75,106.93,112.13
"Congo, Dem. Rep. of the",109.30,109.49,110.03,113.10,,,,,,
Djibouti,94.08,104.43,97.69,100.10,100.09,100.09,97.72,98.83,,
"Egypt, Arab Rep. of",51.79,58.32,60.89,75.37,91.36,97.35,104.90,114.07,118.23,125.13
"Equatorial Guinea, Rep. of",122.07,126.14,127.98,130.11,131.47,136.02,152.79,158.75,163.67,170.73
"Ethiopia, The Federal Dem. Rep. of",73.55,82.34,88.11,96.20,101.89,104.73,119.41,144.25,197.01,
Gabon,113.65,110.57,97.43,92.31,93.92,98.82,100.07,99.50,99.54,102.22
"Gambia, The",74.38,90.98,95.42,97.61,99.38,101.44,102.76,102.93,112.41,152.44
Guinea,67.81,74.85,85.06,89.96,93.80,97.66,100.00,103.08,110.41,129.87
"Lesotho, Kingdom of",88.74,89.66,90.61,92.22,92.59,93.26,94.14,96.65,98.64,100.00
Liberia,71.17,82.65,79.10,78.60,78.90,91.03,,,,
"Madagascar, Rep. of",76.78,81.43,90.85,100.00,109.53,114.61,120.16,129.03,141.86,153.42
Malawi,,43.63,49.94,57.71,69.86,76.46,83.89,89.60,95.78,110.35
Mali,122.86,123.93,126.17,123.05,122.78,116.35,114.74,112.18,121.30,
"Mauritania, Islamic Rep. of",80.68,80.61,81.08,87.53,94.47,95.98,100.03,109.28,113.39,117.58
Mauritius,91.59,96.44,100.47,103.43,108.95,105.37,105.16,108.31,114.29,123.28
Morocco,98.78,98.56,98.28,98.55,99.23,99.75,100.81,101.63,101.75,101.86
"Mozambique, Rep. of",89.99,92.71,93.07,100.00,111.44,123.77,130.58,129.73,131.79,141.85
Namibia,103.11,105.26,110.50,118.30,125.02,131.75,135.43,139.28,144.30,147.02
Nigeria,139.21,148.69,160.87,177.33,196.19,216.60,237.02,264.51,305.17,354.37
Rwanda,89.55,101.04,101.87,101.57,106.50,106.47,106.86,107.28,107.81,109.79
Senegal,102.46,103.49,103.85,104.39,104.61,104.91,105.87,107.23,108.33,110.75
Seychelles,80.69,82.63,94.60,97.89,103.08,105.82,106.91,112.89,,
Sierra Leone,33.68,35.36,37.39,41.35,46.21,53.57,72.53,90.00,91.68,111.48
Somalia,,,104.09,98.35,101.15,100.07,117.33,135.69,157.17,162.97
South Africa,66.28,69.80,74.05,78.18,83.31,87.53,91.79,95.77,99.22,103.81
"South Sudan, Rep. of",166.04,185.23,254.49,"2,108.03","6,333.07","12,249.00","16,770.99","14,286.66","8,713.99","9,471.21"
Sudan,303.12,394.84,441.81,537.59,822.80,"1,287.68","1,500.46",,"9,143.14","21,629.32"
Togo,96.59,96.40,97.48,96.36,96.35,99.95,102.59,103.69,103.45,104.00
Tunisia,94.79,96.91,100.00,102.78,106.22,111.75,118.12,127.58,136.51,142.02
Zambia,130.97,138.67,151.73,173.53,182.90,191.69,204.53,226.97,255.68,272.76
Zimbabwe,1.14,1.15,1.16,1.16,1.16,1.25,5.32,41.49,81.64,143.06
