,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,119.46,130.13,136.45,134.50,138.44,144.84,164.48,170.60,185.12,205.73
Benin,100.09,100.02,100.22,99.94,99.95,100.38,100.83,101.79,101.99,104.09
Botswana,84.57,88.15,93.15,95.90,97.98,99.79,100.16,99.96,105.27,107.90
Burkina Faso,,,101.87,105.10,104.36,103.52,101.21,101.12,101.14,101.43
Burundi,88.50,92.49,96.70,99.71,106.99,114.11,121.93,129.49,130.78,147.43
Cabo Verde,95.20,94.11,95.01,96.90,98.57,100.00,100.86,101.63,101.62,
Cameroon,100.31,101.03,101.45,102.94,103.59,104.47,105.81,107.45,108.47,110.33
Central African Rep.,,,,,,,,101.14,103.01,
Chad,70.93,72.75,102.16,103.26,104.38,104.93,104.68,106.90,108.02,113.28
Chile,93.50,94.89,95.81,96.50,96.07,97.26,102.86,106.01,111.57,124.21
"Congo, Dem. Rep. of the",117.65,117.83,117.89,120.36,,,,,,
Djibouti,108.68,107.47,98.37,100.02,100.76,102.58,107.28,112.63,,
"Egypt, Arab Rep. of",41.36,47.15,53.10,60.40,81.90,95.81,106.40,113.78,124.34,155.20
"Equatorial Guinea, Rep. of",106.52,109.77,112.90,139.15,140.05,140.78,145.46,146.46,148.60,151.94
"Ethiopia, The Federal Dem. Rep. of",76.13,76.94,82.09,93.89,109.44,121.58,131.40,144.39,187.13,
Gabon,79.61,83.58,92.09,94.54,94.40,100.32,99.78,100.18,100.43,102.16
"Gambia, The",75.78,77.74,79.19,82.34,87.54,95.15,98.87,96.26,98.83,106.56
Guinea,82.78,85.82,90.02,92.91,94.09,95.83,100.00,100.85,101.59,110.62
"Lesotho, Kingdom of",80.20,81.18,83.84,85.04,87.40,91.55,95.92,98.78,99.11,100.00
Liberia,41.98,44.98,54.29,60.59,73.50,90.91,,,,
"Madagascar, Rep. of",83.26,89.33,96.41,100.00,102.27,107.38,111.03,114.66,123.27,130.54
Malawi,,52.01,60.05,72.26,86.09,91.12,94.74,97.01,99.22,101.66
Mali,116.05,114.15,113.51,112.92,111.03,108.36,112.88,105.50,128.18,
"Mauritania, Islamic Rep. of",92.39,93.50,93.34,93.61,95.71,98.18,99.98,100.91,102.70,105.44
Mauritius,89.46,93.01,95.11,97.01,97.70,100.33,101.98,104.05,108.80,114.22
Morocco,95.38,94.49,94.77,96.26,96.80,97.53,99.04,99.33,100.18,104.30
"Mozambique, Rep. of",91.25,90.66,92.89,100.00,107.59,109.92,110.17,114.18,118.94,122.63
Namibia,103.04,108.89,113.07,119.63,124.52,128.78,134.84,141.70,145.63,152.24
Nigeria,126.21,135.65,144.96,158.46,174.43,189.51,205.09,224.41,252.38,291.84
Rwanda,100.01,101.40,104.77,106.94,110.88,112.81,118.34,122.27,127.80,142.32
Senegal,91.98,92.85,94.61,95.76,96.95,99.96,101.07,101.48,101.56,110.42
Seychelles,95.44,103.48,107.02,108.56,108.79,107.82,106.88,110.94,,
Sierra Leone,44.07,46.55,49.70,56.09,62.61,71.06,75.93,78.82,84.30,118.41
Somalia,,,100.76,99.39,99.75,102.02,100.19,98.50,102.81,103.48
South Africa,82.47,84.72,86.61,92.57,94.90,95.59,96.55,97.64,99.26,101.64
"South Sudan, Rep. of",161.83,185.29,247.79,797.60,"2,336.85","5,174.66","11,697.04","10,730.56","7,132.89","6,402.84"
Sudan,368.40,539.25,721.30,898.64,"1,154.10","1,952.42","3,036.07",,"43,340.04","113,108.37"
Togo,100.51,99.65,99.26,100.89,103.27,102.23,102.09,102.55,103.78,111.92
Tunisia,93.92,97.52,100.00,101.31,103.65,112.32,118.27,122.63,127.93,136.51
Zambia,125.64,134.85,149.87,176.81,185.08,195.70,207.00,223.17,256.25,289.22
Zimbabwe,2.15,2.13,2.11,2.10,2.13,2.58,11.13,74.34,134.83,199.33
