,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,98.45,100.01,101.47,101.96,102.23,100.57,100.95,103.78,103.43,104.14
Botswana,78.13,84.04,88.67,92.19,95.61,98.90,101.42,104.71,108.86,113.45
Burkina Faso,,,99.64,99.93,101.58,102.96,104.99,105.28,105.97,107.85
Burundi,84.58,89.62,96.67,99.63,106.93,112.86,112.33,114.25,118.54,130.20
Cabo Verde,94.92,94.77,95.92,98.06,98.72,100.00,106.64,110.41,111.14,
Cameroon,104.55,108.27,114.60,118.56,119.66,121.76,128.73,131.69,133.72,142.19
Central African Rep.,,,,,,,,100.49,105.97,
Chad,92.92,95.60,102.54,99.12,99.67,103.58,99.32,103.08,103.91,108.75
Chile,75.17,81.14,87.07,92.40,96.63,100.14,103.03,105.16,110.44,128.04
"Congo, Dem. Rep. of the",95.65,96.23,96.45,99.02,,,,,,
Djibouti,100.40,108.42,99.08,100.40,101.22,100.59,100.59,100.59,,
"Egypt, Arab Rep. of",42.89,48.01,55.16,66.95,85.34,94.34,105.25,114.42,118.72,140.78
"Equatorial Guinea, Rep. of",118.93,124.00,127.80,143.85,141.33,142.24,142.45,145.78,146.43,148.77
"Ethiopia, The Federal Dem. Rep. of",74.42,80.32,86.90,96.04,105.28,121.10,141.07,164.48,199.98,
Gabon,89.50,92.49,93.28,97.03,96.63,100.13,100.10,100.16,101.12,106.22
"Gambia, The",61.38,64.81,69.50,74.94,82.00,88.09,95.78,104.19,109.59,148.51
Guinea,89.89,90.91,95.23,95.93,96.36,96.68,100.00,102.32,103.88,126.15
"Lesotho, Kingdom of",77.24,78.98,81.42,83.38,84.51,86.43,88.21,90.20,94.02,100.00
Liberia,47.33,52.45,51.64,56.49,66.31,84.40,,,,
"Madagascar, Rep. of",82.09,88.69,94.96,99.99,107.28,113.17,117.94,122.51,127.07,139.16
Malawi,,56.47,63.88,72.54,80.07,86.12,89.97,93.94,98.34,109.18
Mali,100.10,98.71,98.92,98.86,105.07,102.09,98.17,101.21,103.60,
"Mauritania, Islamic Rep. of",91.16,91.16,90.99,92.54,94.06,96.39,99.99,103.01,105.95,108.61
Mauritius,93.73,98.51,100.02,102.49,106.21,103.73,105.20,107.98,112.25,123.33
Morocco,89.56,91.77,93.91,96.24,99.30,101.18,102.43,103.55,104.58,107.51
"Mozambique, Rep. of",78.37,81.40,83.93,100.00,117.35,125.19,130.02,130.71,138.35,148.72
Namibia,104.97,111.17,117.82,127.11,136.34,141.56,147.65,149.29,150.44,165.10
Nigeria,130.12,139.37,151.62,165.75,180.90,199.11,215.97,236.74,265.30,305.88
Rwanda,94.91,100.61,102.13,104.48,108.71,109.54,110.56,112.14,116.71,133.84
Senegal,99.80,100.34,100.26,100.02,101.21,102.17,103.57,105.66,108.15,114.82
Seychelles,92.22,93.81,96.99,97.85,104.16,105.63,105.92,110.36,,
Sierra Leone,27.93,29.18,33.03,37.12,44.40,56.02,68.25,79.67,86.19,123.50
Somalia,,,93.55,113.44,121.99,130.90,135.46,137.09,139.78,139.24
South Africa,69.06,74.85,79.28,84.15,88.07,91.77,94.89,95.68,97.98,104.47
"South Sudan, Rep. of",181.65,187.59,264.39,985.54,"3,995.68","7,863.56","12,040.97","14,614.73","11,383.07","11,977.07"
Sudan,345.61,473.74,553.32,683.49,963.82,"1,625.86","2,460.01",,"21,511.26","42,328.01"
Togo,97.40,99.97,102.10,105.20,103.48,107.73,109.44,110.99,114.46,119.64
Tunisia,85.40,91.07,100.00,104.40,110.89,120.75,133.30,147.81,158.94,171.85
Zambia,128.87,138.78,149.03,165.38,171.18,177.37,189.36,205.85,232.33,252.73
Zimbabwe,1.29,1.30,1.29,1.29,1.31,1.43,5.25,34.52,83.16,157.74
