,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,165.19,163.45,169.47,189.37,198.32,209.25,211.77,217.66,221.25,223.09
Benin,107.60,100.01,98.50,94.82,99.60,99.16,101.33,109.48,105.98,113.20
Botswana,93.11,94.21,89.41,86.96,88.36,94.96,100.82,98.38,108.92,145.12
Burkina Faso,,,98.62,96.42,96.22,97.65,99.51,99.02,98.59,103.38
Burundi,90.65,96.43,97.14,99.54,108.19,117.47,118.34,116.71,118.79,143.60
Cabo Verde,102.02,100.23,97.60,94.51,96.12,100.00,100.10,100.28,106.54,
Cameroon,104.22,112.26,120.70,119.85,120.80,121.62,123.95,126.49,127.51,130.92
Central African Rep.,,,,,,,,102.20,103.08,
Chad,94.26,89.69,100.21,106.72,109.12,121.80,114.10,114.99,117.48,122.29
Chile,92.48,97.38,97.53,97.30,98.20,99.68,101.23,103.15,111.14,135.98
"Congo, Dem. Rep. of the",122.13,122.94,123.82,125.78,,,,,,
Djibouti,100.00,100.72,99.72,100.03,100.11,100.68,102.02,102.25,,
"Egypt, Arab Rep. of",38.10,43.98,48.81,52.34,67.45,88.12,106.85,117.46,123.39,138.02
"Equatorial Guinea, Rep. of",106.90,111.45,114.99,118.78,118.48,122.38,131.33,139.33,146.43,161.44
"Ethiopia, The Federal Dem. Rep. of",95.54,98.98,96.47,97.91,105.94,114.97,134.17,182.12,206.96,
Gabon,73.95,77.61,79.08,87.26,90.89,98.34,99.98,106.95,109.64,110.67
"Gambia, The",79.07,87.82,92.47,91.64,94.20,96.88,99.33,101.59,110.52,125.05
Guinea,86.70,87.50,88.38,88.26,88.34,93.75,100.00,122.04,123.19,120.06
"Lesotho, Kingdom of",62.64,69.04,69.25,70.03,71.39,75.12,77.43,78.98,84.86,100.00
Liberia,36.71,42.83,44.52,53.60,64.96,89.36,,,,
"Madagascar, Rep. of",93.00,97.28,100.07,100.00,108.04,113.57,116.73,119.57,123.83,137.67
Malawi,,50.66,59.00,67.43,70.88,75.69,80.72,85.60,95.06,120.21
Mali,92.41,95.50,93.67,89.20,89.79,99.90,100.43,97.26,98.23,
"Mauritania, Islamic Rep. of",89.98,90.00,92.01,95.41,95.97,96.62,99.99,100.64,102.44,107.19
Mauritius,90.75,93.23,90.50,86.66,90.34,102.42,104.08,105.49,111.52,134.74
Morocco,100.21,102.78,99.44,99.34,100.97,102.38,102.36,100.81,106.69,119.68
"Mozambique, Rep. of",91.39,91.57,92.63,100.00,112.95,125.92,129.61,131.97,133.90,156.44
Namibia,103.64,111.05,108.73,112.22,117.87,128.37,134.94,136.04,145.89,171.39
Nigeria,145.12,154.91,168.17,194.69,220.84,245.28,267.74,296.82,340.73,400.03
Rwanda,99.41,99.35,98.40,103.05,106.30,114.89,118.23,131.80,123.20,132.64
Senegal,101.23,101.41,99.27,97.82,97.81,98.04,98.95,103.12,105.48,107.89
Seychelles,88.90,89.81,94.95,91.68,96.34,112.01,112.66,120.00,,
Sierra Leone,39.71,40.96,42.09,45.40,55.03,62.32,72.40,81.26,91.47,124.71
Somalia,,,103.56,103.13,101.82,104.62,108.81,110.43,109.43,109.86
South Africa,66.88,71.16,70.44,73.42,77.06,82.40,85.55,85.34,93.10,108.83
"South Sudan, Rep. of",133.20,122.40,138.03,552.53,"1,744.12","4,563.24","6,758.72","14,425.45","12,580.50","14,691.29"
Sudan,323.55,562.44,659.18,826.10,"1,263.60","2,180.09","2,339.87",,"100,303.06","280,112.74"
Togo,94.42,98.44,96.80,90.53,91.81,93.17,96.74,93.37,92.80,104.94
Tunisia,94.49,97.79,100.00,102.10,108.29,120.44,128.48,130.73,134.78,144.95
Zambia,135.06,149.32,163.22,190.65,206.48,228.14,269.76,364.56,413.50,443.46
Zimbabwe,1.38,1.39,1.37,1.33,1.33,1.44,7.18,42.14,83.41,142.13
