,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,99.07,100.00,102.39,102.69,102.54,104.70,103.29,106.18,108.13,111.83
Botswana,79.51,86.64,91.95,94.30,98.64,99.73,102.48,108.03,115.11,123.78
Burkina Faso,,,98.88,104.82,113.66,126.84,130.13,130.32,136.73,150.33
Burundi,89.10,88.29,87.95,99.13,108.32,114.65,113.72,115.74,121.29,130.03
Cabo Verde,92.98,94.15,95.77,96.54,98.34,100.00,105.55,110.47,119.32,
Cameroon,105.70,107.16,116.74,120.24,121.95,123.76,129.62,133.54,136.32,141.94
Central African Rep.,,,,,,,,100.30,106.77,
Chad,81.43,91.75,103.39,110.20,108.41,103.30,102.20,115.80,113.71,117.49
Chile,70.27,77.28,86.33,91.09,96.64,100.31,103.02,106.47,108.24,116.08
"Congo, Dem. Rep. of the",102.30,102.25,102.22,104.27,,,,,,
Djibouti,99.87,93.87,86.86,89.70,86.39,85.27,91.56,93.19,,
"Egypt, Arab Rep. of",38.18,44.78,54.78,59.87,79.06,95.25,100.95,110.32,116.17,125.38
"Equatorial Guinea, Rep. of",112.75,117.60,118.45,123.15,122.82,122.84,122.06,130.35,129.50,134.04
"Ethiopia, The Federal Dem. Rep. of",72.56,83.78,94.30,96.25,104.47,112.54,126.17,156.95,195.48,
Gabon,94.45,92.83,94.33,96.71,99.04,100.16,100.91,100.91,100.40,101.44
"Gambia, The",93.34,94.92,96.92,99.68,101.58,103.00,105.55,106.23,120.13,142.48
Guinea,74.65,78.07,79.99,78.87,79.77,86.12,100.00,103.99,108.43,128.41
"Lesotho, Kingdom of",65.46,69.71,73.87,76.99,80.55,85.30,89.51,93.42,96.45,100.00
Liberia,46.70,51.53,54.03,60.52,75.73,88.80,,,,
"Madagascar, Rep. of",,,,100.00,105.92,111.59,118.20,134.81,143.04,155.11
Malawi,,50.34,55.54,64.26,73.84,82.44,88.83,95.02,99.70,108.05
Mali,91.65,103.69,110.48,110.86,109.58,110.23,107.31,103.87,108.04,
"Mauritania, Islamic Rep. of",35.58,36.23,38.45,43.12,45.07,74.41,99.94,136.21,62.91,69.25
Mauritius,97.85,102.74,104.56,111.05,125.71,110.92,105.01,106.36,113.63,124.33
Morocco,86.24,87.73,91.13,92.53,93.54,104.44,120.20,121.20,125.46,129.78
"Mozambique, Rep. of",78.55,80.31,82.22,100.00,114.09,116.98,119.24,128.60,137.09,140.06
Namibia,106.19,113.23,121.50,129.59,135.55,142.59,149.46,154.26,159.26,167.00
Nigeria,130.97,139.75,151.80,171.78,189.99,207.28,228.30,251.90,284.00,332.16
Rwanda,94.64,100.74,108.44,113.03,119.30,120.88,127.69,151.51,158.81,174.89
Senegal,98.22,98.20,97.69,97.58,97.40,101.77,114.86,115.33,116.03,120.13
Seychelles,84.41,84.61,95.42,97.22,102.43,105.84,113.95,121.99,,
Sierra Leone,36.12,37.99,40.20,43.66,53.69,64.39,74.62,77.67,91.67,106.96
Somalia,,,96.89,104.32,115.14,121.21,140.93,136.19,119.79,92.73
South Africa,64.58,68.73,74.43,78.76,81.81,86.20,91.01,93.95,98.25,104.15
"South Sudan, Rep. of",405.58,351.97,381.56,"1,694.90","4,393.17","14,769.80","28,871.05","61,166.63","7,895.94","3,516.38"
Sudan,244.61,328.03,400.08,517.17,631.10,824.63,"1,384.43",,"11,320.76","24,423.94"
Togo,100.10,100.52,102.88,103.57,99.88,100.53,101.84,105.93,108.21,113.23
Tunisia,89.20,93.94,100.00,99.32,104.11,110.64,120.45,143.95,163.90,185.57
Zambia,119.77,135.87,145.61,171.95,181.01,189.40,201.53,221.28,248.80,275.95
Zimbabwe,1.32,1.35,1.35,1.34,1.34,1.43,6.05,44.99,90.86,156.89
