,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,126.98,136.04,147.85,168.17,183.09,193.16,205.92,218.03,229.93,245.38
Benin,99.45,99.99,101.14,100.18,103.42,105.54,104.59,106.71,109.06,112.37
Botswana,79.49,84.29,90.75,95.93,97.67,99.46,100.73,102.90,108.10,111.11
Burkina Faso,,,99.44,97.45,100.16,100.54,101.26,101.31,101.38,101.65
Burundi,72.66,78.99,88.27,98.82,109.49,116.48,120.05,125.08,132.84,148.16
Cabo Verde,97.93,99.38,100.31,99.90,101.28,100.00,101.34,97.79,100.45,
Cameroon,103.46,105.06,105.24,105.32,106.32,108.33,111.42,114.03,116.52,121.13
Central African Rep.,,,,,,,,100.52,102.14,
Chad,73.39,74.76,106.26,103.56,107.30,94.07,91.27,94.90,95.38,99.52
Chile,128.02,120.43,114.18,113.98,108.13,102.27,100.34,98.94,100.20,101.03
"Congo, Dem. Rep. of the",120.82,123.00,124.19,128.07,,,,,,
Djibouti,100.03,96.24,98.48,99.99,100.44,101.33,102.99,104.77,,
"Egypt, Arab Rep. of",53.07,54.46,58.74,65.46,81.76,95.93,102.94,105.52,107.88,118.43
"Equatorial Guinea, Rep. of",117.97,127.36,130.20,119.21,120.08,121.82,123.19,132.64,132.52,135.83
"Ethiopia, The Federal Dem. Rep. of",79.87,88.11,95.81,99.20,109.66,137.07,154.39,168.60,205.21,
Gabon,74.95,82.67,96.23,96.71,97.95,99.66,101.54,99.88,100.34,106.72
"Gambia, The",65.96,68.23,71.97,77.44,83.83,90.18,97.16,101.74,105.87,111.71
Guinea,70.03,76.46,85.29,89.59,91.42,92.93,100.00,103.55,104.55,119.29
"Lesotho, Kingdom of",70.73,73.33,76.51,80.03,81.81,83.45,86.50,89.70,92.88,100.00
Liberia,35.83,41.85,47.60,55.08,70.23,90.00,,,,
"Madagascar, Rep. of",83.51,90.79,96.68,100.02,105.79,110.08,115.18,120.34,127.65,136.76
Malawi,,49.10,57.48,65.61,73.64,79.75,85.69,91.16,96.76,107.10
Mali,108.03,110.31,110.62,111.13,109.29,106.40,103.77,106.04,107.03,
"Mauritania, Islamic Rep. of",93.60,94.85,95.27,95.61,97.90,99.12,99.97,100.83,101.57,103.13
Mauritius,91.87,97.00,100.53,105.85,108.99,103.90,104.80,106.58,109.15,112.03
Morocco,94.79,96.78,97.44,98.44,99.82,100.80,101.80,102.66,104.74,109.70
"Mozambique, Rep. of",79.89,81.63,84.99,100.00,121.52,125.99,130.84,135.71,142.94,147.03
Namibia,102.01,105.47,106.83,106.97,106.59,102.64,103.36,99.83,96.41,96.12
Nigeria,144.78,155.53,169.63,194.98,226.51,252.62,277.63,307.40,349.92,409.65
Rwanda,98.63,100.92,102.17,103.72,110.67,113.88,120.94,127.75,133.48,142.90
Senegal,102.04,101.64,101.72,101.46,102.10,101.53,101.90,102.21,102.97,106.73
Seychelles,102.27,112.05,113.16,115.64,113.66,108.49,107.62,114.51,,
Sierra Leone,35.06,37.41,39.39,43.61,55.32,63.96,78.31,87.71,94.43,106.04
Somalia,,,100.67,99.67,101.09,104.98,117.53,137.93,152.49,150.03
South Africa,77.48,81.68,86.12,90.45,93.48,95.12,97.06,97.91,99.33,101.52
"South Sudan, Rep. of",167.45,165.03,312.12,"1,608.06","5,182.98","9,421.67","10,861.98","12,601.27","9,393.21","7,331.46"
Sudan,353.87,529.26,671.69,808.48,951.98,"1,393.16","2,546.41",,"20,385.21","38,943.79"
Togo,100.86,101.37,100.94,103.04,106.85,104.97,105.72,106.92,107.65,113.18
Tunisia,87.22,93.72,100.00,107.02,115.47,124.00,134.10,143.89,154.70,169.63
Zambia,136.45,145.95,161.50,188.82,204.45,218.50,232.43,251.07,287.37,318.18
Zimbabwe,1.31,1.31,1.29,1.27,1.27,1.54,6.81,50.90,91.75,141.32
