,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,174.80,181.61,190.16,196.61,206.46,213.43,212.24,212.68,234.22,265.58
Benin,100.78,100.00,100.41,99.95,101.52,103.36,100.38,103.37,109.48,108.67
Botswana,91.01,93.77,95.01,97.57,100.93,100.41,101.82,105.62,113.15,124.39
Burkina Faso,,,103.15,104.16,105.53,109.06,102.09,105.88,113.10,140.19
Burundi,84.86,86.81,91.84,98.43,122.01,108.60,105.18,117.90,130.15,162.08
Cabo Verde,100.13,98.95,100.39,99.74,99.55,100.00,101.39,103.04,103.62,
Cameroon,106.76,107.57,109.75,110.93,110.96,112.33,115.56,119.68,124.76,140.68
Central African Rep.,,,,,,,,100.88,106.29,
Chad,104.95,107.61,104.09,99.87,96.09,94.25,89.33,97.77,96.18,108.14
Chile,79.81,85.38,91.45,94.95,96.86,99.81,102.38,109.28,115.18,135.60
"Congo, Dem. Rep. of the",119.34,121.00,122.01,125.70,,,,,,
Djibouti,102.53,102.80,106.01,112.40,114.49,114.69,121.22,127.04,,
"Egypt, Arab Rep. of",41.26,46.33,51.28,59.82,82.94,93.97,100.62,100.43,105.03,129.81
"Equatorial Guinea, Rep. of",136.52,142.53,144.63,138.76,140.98,141.84,142.98,149.63,147.80,156.03
"Ethiopia, The Federal Dem. Rep. of",78.97,83.26,93.35,99.47,110.73,124.57,148.16,182.38,240.34,
Gabon,89.94,92.64,95.26,95.17,94.47,97.91,100.91,102.80,104.20,110.37
"Gambia, The",62.08,66.30,71.78,77.70,84.45,89.80,95.91,102.20,112.01,127.74
Guinea,51.32,54.69,62.56,69.75,79.25,89.80,100.00,112.70,130.48,148.57
"Lesotho, Kingdom of",51.07,53.82,57.18,63.94,67.59,71.07,75.93,83.78,91.86,100.00
Liberia,53.25,58.07,63.92,68.96,73.35,88.78,,,,
"Madagascar, Rep. of",83.88,88.41,94.18,100.01,109.33,121.14,126.97,131.81,141.61,155.11
Malawi,,31.26,38.71,49.03,54.89,61.63,71.02,80.28,89.41,113.25
Mali,100.31,100.09,103.14,99.79,102.35,100.45,98.73,101.19,106.43,
"Mauritania, Islamic Rep. of",79.83,83.88,88.61,90.63,93.42,97.34,99.99,102.18,108.09,124.81
Mauritius,91.26,95.48,98.55,99.61,103.33,106.73,106.56,113.18,118.08,135.48
Morocco,97.00,95.83,98.28,101.04,101.05,102.00,100.73,101.60,102.20,113.73
"Mozambique, Rep. of",71.94,74.70,78.60,100.00,116.39,116.40,120.21,128.75,143.47,161.97
Namibia,102.80,111.31,117.57,130.25,137.52,141.92,148.01,155.74,164.67,177.31
Nigeria,147.71,161.67,177.61,203.96,243.62,278.50,316.60,367.52,442.13,534.40
Rwanda,100.88,103.43,107.27,120.94,136.08,126.03,130.71,150.84,144.58,186.09
Senegal,99.20,97.36,99.13,102.41,106.23,107.36,109.33,112.85,116.17,133.73
Seychelles,107.00,107.55,108.07,108.11,108.48,108.42,108.27,119.38,,
Sierra Leone,37.06,38.78,42.02,47.30,56.50,66.48,72.28,82.32,96.29,125.62
Somalia,,,100.57,101.42,106.17,114.23,121.29,123.62,126.98,144.70
South Africa,61.27,66.17,69.46,77.55,82.85,85.46,88.49,92.38,98.01,107.11
"South Sudan, Rep. of",147.70,151.56,242.86,"1,155.06","3,181.03","5,418.87","11,268.95","13,942.68","8,853.74","7,477.85"
Sudan,336.22,440.52,501.49,570.85,770.53,"1,310.66","2,135.03",,"17,420.02","33,872.19"
Togo,101.52,97.12,106.81,111.57,107.79,108.11,107.55,110.80,120.76,135.52
Tunisia,91.16,95.68,100.00,102.72,108.51,116.37,124.37,130.17,138.42,153.48
Zambia,126.91,136.10,151.16,183.34,193.91,207.76,229.45,266.70,340.60,385.29
Zimbabwe,1.59,1.54,1.49,1.44,1.48,1.70,7.74,54.24,111.62,279.02
