,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,141.79,143.63,145.47,154.72,158.32,159.73,162.14,164.39,166.82,170.82
Benin,99.04,100.00,99.80,99.12,103.01,100.93,99.89,102.77,100.79,103.15
Botswana,71.83,74.63,79.92,86.65,94.89,98.73,100.79,105.95,112.74,121.63
Burkina Faso,,,101.39,100.35,103.30,97.76,98.89,97.42,99.36,102.71
Burundi,88.94,95.13,98.64,99.60,106.98,118.57,122.06,128.23,138.27,151.99
Cabo Verde,111.73,111.46,104.74,96.09,97.67,100.00,100.32,100.26,102.13,
Cameroon,106.09,108.22,111.39,113.00,114.34,114.80,116.72,120.25,122.42,124.72
Central African Rep.,,,,,,,,101.44,104.59,
Chad,122.36,120.60,108.53,106.76,107.20,127.18,133.98,133.23,130.79,131.08
Chile,78.78,83.73,88.06,92.88,96.25,100.21,103.83,106.80,111.42,121.75
"Congo, Dem. Rep. of the",241.86,242.81,243.07,251.11,,,,,,
Djibouti,100.05,103.82,101.12,100.63,100.17,100.05,102.07,100.17,,
"Egypt, Arab Rep. of",63.98,66.29,71.22,74.85,82.16,93.97,102.99,107.14,111.43,117.98
"Equatorial Guinea, Rep. of",116.73,121.50,125.51,150.41,149.77,149.28,150.43,153.52,151.10,154.85
"Ethiopia, The Federal Dem. Rep. of",71.52,79.42,86.36,96.98,109.51,128.11,142.11,170.67,197.78,
Gabon,88.71,94.77,85.11,86.37,94.91,98.80,101.35,100.45,100.69,103.69
"Gambia, The",72.44,76.24,79.54,82.39,86.24,91.38,96.67,99.57,104.89,110.58
Guinea,67.51,70.92,78.43,83.15,86.35,92.10,100.00,106.13,112.43,130.02
"Lesotho, Kingdom of",65.79,70.82,65.95,66.18,69.81,76.51,82.63,81.04,86.61,100.00
Liberia,71.90,73.29,73.02,69.09,77.07,91.83,,,,
"Madagascar, Rep. of",77.11,82.21,91.01,99.98,109.87,117.47,128.45,134.38,137.72,141.71
Malawi,,38.94,50.36,61.20,71.72,82.21,85.27,87.32,94.40,111.74
Mali,93.62,96.55,98.14,99.89,99.28,104.03,106.83,107.55,106.50,
"Mauritania, Islamic Rep. of",95.02,96.63,100.46,100.33,99.65,100.16,100.03,100.71,103.05,107.06
Mauritius,88.72,89.37,89.33,86.55,84.64,94.38,97.81,94.88,92.08,96.38
Morocco,91.85,94.13,97.29,98.25,99.39,100.26,101.19,101.75,102.55,103.63
"Mozambique, Rep. of",91.60,94.67,95.49,100.00,115.65,122.00,125.01,125.68,132.28,139.90
Namibia,102.23,105.54,108.31,116.67,127.38,131.90,134.62,133.30,134.97,137.35
Nigeria,158.06,167.29,179.34,218.67,246.77,265.03,284.51,307.63,339.07,389.12
Rwanda,97.58,100.43,102.61,104.54,106.26,117.90,120.99,125.20,129.25,143.44
Senegal,109.24,104.03,101.25,99.41,98.01,98.32,98.45,99.36,100.80,104.98
Seychelles,94.72,95.76,93.91,86.16,96.58,105.95,112.43,128.96,,
Sierra Leone,49.69,51.54,53.28,57.36,64.37,72.92,82.24,85.20,92.42,111.71
Somalia,,,101.02,99.26,105.28,106.35,104.50,109.54,116.80,120.92
South Africa,66.50,70.24,74.38,78.74,82.74,86.79,91.08,94.45,97.63,102.13
"South Sudan, Rep. of",130.40,146.48,188.04,916.38,"2,895.81","6,023.35","12,724.82","14,625.60","12,899.16","10,467.92"
Sudan,211.72,253.95,306.68,357.90,413.28,500.48,672.91,,"8,831.46","33,078.95"
Togo,101.09,103.91,98.31,97.18,98.50,97.87,98.65,99.58,100.23,108.39
Tunisia,90.38,95.23,100.00,104.92,110.50,115.83,121.38,127.13,133.45,141.62
Zambia,150.43,165.07,177.58,187.17,207.60,231.06,244.21,290.17,343.81,371.48
Zimbabwe,8.72,8.79,8.57,8.36,8.24,8.33,15.88,64.56,109.64,216.26
