,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",88.88,93.61,104.04,115.85,124.55,129.68,132.27,,,
"Armenia, Rep. of",112.51,120.50,122.46,121.98,125.89,131.21,136.91,150.50,164.43,177.91
"Bahrain, Kingdom of",48.04,49.43,51.16,64.43,67.82,93.39,99.74,112.38,115.83,130.92
"China, P.R.: Hong Kong",88.23,93.93,95.22,96.63,97.25,98.54,99.72,100.23,100.31,101.64
"China, P.R.: Macao",65.90,68.02,79.81,97.15,100.06,99.97,99.53,99.23,98.80,100.64
Iraq,,,112.80,119.35,121.47,121.40,121.06,121.86,141.22,140.91
Jordan,65.86,75.71,78.38,80.88,87.25,100.00,98.41,101.37,103.96,103.92
"Korea, Rep. of",64.46,64.41,96.67,97.34,98.80,99.06,99.68,100.00,100.43,102.62
Kuwait,96.75,104.26,110.47,111.28,113.14,126.18,130.85,134.23,135.00,
Kyrgyz Rep.,74.81,82.28,91.14,100.00,103.51,111.52,115.97,122.20,133.23,156.24
Lao People's Dem. Rep.,92.52,96.61,99.00,100.68,101.34,102.23,104.91,106.20,110.93,126.69
Lebanon,93.66,106.39,111.02,111.87,118.56,122.00,127.29,490.45,"1,617.34",
Mongolia,69.41,79.13,83.20,83.67,85.77,92.92,96.31,100.00,102.98,110.20
Myanmar,92.89,103.49,116.47,127.82,133.14,146.90,150.01,,,
Nepal,,,,,123.60,135.07,148.30,161.44,173.59,
Oman,101.53,102.35,106.08,112.37,131.90,131.93,192.95,254.00,259.94,261.60
Pakistan,64.34,77.63,92.21,111.42,106.24,101.17,123.82,139.68,144.89,172.33
Qatar,87.64,91.66,99.92,99.92,99.92,99.92,227.00,244.42,246.00,246.00
Sri Lanka,,57.41,67.47,82.36,91.26,95.34,104.24,111.44,114.57,156.58
Thailand,77.73,81.44,83.13,93.14,95.91,100.02,99.99,100.01,100.30,102.31
"Uzbekistan, Rep. of",,,,,,,,100.00,110.58,121.73
Vietnam,88.08,91.36,93.33,95.39,96.84,98.22,100.17,101.68,103.56,106.82
