,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",105.57,103.38,100.15,99.57,96.89,96.40,92.18,,,
"Armenia, Rep. of",93.62,92.84,91.30,90.38,90.34,90.09,89.75,89.66,90.45,90.84
"Bahrain, Kingdom of",95.86,95.91,95.66,95.61,95.53,95.01,99.29,98.35,97.64,100.43
Brunei Darussalam,99.14,99.23,99.96,99.66,99.52,99.39,99.40,99.54,100.09,99.02
"China, P.R.: Hong Kong",135.98,133.98,127.37,121.38,116.92,110.48,102.22,99.36,98.32,96.06
"China, P.R.: Macao",115.32,114.97,114.66,113.64,108.32,99.14,97.50,87.15,82.48,74.73
Iraq,,,110.56,114.14,112.94,111.20,109.68,109.10,115.82,118.59
Jordan,98.33,98.26,98.32,98.11,99.84,100.00,100.01,100.95,102.28,103.21
"Korea, Rep. of",105.28,105.22,105.02,105.11,105.41,104.51,102.11,100.00,99.10,100.02
Kuwait,100.04,99.28,99.69,100.19,100.15,103.81,109.07,113.39,118.51,
Kyrgyz Rep.,94.11,94.51,94.31,100.00,123.52,142.39,143.17,143.17,143.40,143.40
Lao People's Dem. Rep.,98.22,98.95,99.89,99.97,99.90,101.57,103.75,107.96,112.52,121.18
Lebanon,100.00,86.27,76.00,75.83,76.29,77.02,77.02,127.92,185.71,
Mongolia,102.01,101.93,101.46,100.55,100.09,99.55,100.03,100.00,100.50,102.38
Myanmar,96.39,95.88,96.29,95.19,98.30,102.34,101.56,,,
Nepal,,,,,105.36,104.17,104.58,107.03,110.65,
Oman,97.64,97.76,98.29,97.86,95.66,95.44,95.08,94.99,94.90,94.88
Pakistan,94.69,95.21,95.54,95.99,97.30,99.73,106.14,107.05,109.06,111.01
Qatar,104.45,104.03,103.61,103.74,103.12,96.62,91.32,90.93,92.96,92.42
Singapore,101.62,101.43,101.77,101.39,101.95,100.92,100.00,100.68,100.09,98.90
Sri Lanka,,93.41,93.51,99.92,109.19,107.81,99.34,89.10,89.10,99.87
"Uzbekistan, Rep. of",,,,,,,,100.00,103.44,106.22
Vietnam,102.20,101.80,102.13,101.46,100.85,100.19,99.51,98.94,98.20,97.83
