,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",94.38,101.68,100.82,106.54,113.93,112.68,116.93,,,
"Armenia, Rep. of",120.26,122.34,126.11,121.96,126.94,129.91,132.34,132.70,147.58,166.70
"Bahrain, Kingdom of",90.36,92.94,95.20,96.42,97.40,99.46,101.82,105.43,105.35,116.28
Bangladesh,60.14,64.90,68.83,71.93,77.09,81.88,86.43,91.42,96.27,103.73
Brunei Darussalam,100.10,99.87,100.77,100.26,100.53,102.45,101.73,104.28,106.76,112.26
"China, P.R.: Hong Kong",72.91,75.51,77.98,80.80,81.68,85.22,93.50,100.78,102.21,106.77
"China, P.R.: Macao",82.83,87.89,92.17,94.82,96.28,98.94,102.71,106.17,106.41,108.28
Iraq,,,99.75,99.07,97.03,97.48,97.48,97.01,101.73,108.62
Jordan,99.33,99.65,100.77,97.27,96.87,100.00,100.28,102.61,102.71,106.14
"Korea, Rep. of",86.36,86.61,88.04,90.07,93.13,95.72,95.76,100.00,105.89,112.15
Kuwait,99.57,102.46,105.92,107.95,107.62,107.62,108.78,114.08,124.90,
Kyrgyz Rep.,95.29,103.14,106.93,100.00,102.46,100.25,101.60,113.46,133.85,155.53
Lao People's Dem. Rep.,88.10,94.16,98.44,102.67,102.57,103.84,108.70,118.06,121.62,148.40
Lebanon,97.71,101.26,100.15,98.94,102.55,107.70,112.33,397.60,"1,632.87",
Mongolia,69.50,76.00,76.66,75.51,78.85,84.43,93.44,100.00,113.79,134.93
Myanmar,105.81,113.09,127.94,139.75,145.89,155.48,169.48,,,
Nepal,,,,,114.49,116.33,123.11,132.40,137.81,
Oman,102.76,104.54,103.69,102.48,103.04,102.33,103.57,104.86,105.73,111.23
Pakistan,94.64,100.12,100.68,103.15,106.54,108.87,120.49,139.11,153.73,192.15
Qatar,99.40,99.64,100.47,98.61,100.51,100.45,100.34,100.23,102.90,107.04
Singapore,90.39,93.06,94.20,96.37,97.61,98.87,100.00,102.90,104.55,110.09
Sri Lanka,,84.69,89.13,91.86,102.28,102.05,102.73,115.24,128.15,205.49
Thailand,91.14,94.73,95.80,97.35,97.35,97.74,100.00,101.23,101.10,108.10
"Uzbekistan, Rep. of",,,,,,,,100.00,114.42,131.63
Vietnam,86.10,89.55,90.87,93.02,92.02,94.99,98.87,108.71,109.50,112.31
