,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",89.85,98.15,102.09,107.51,110.28,113.35,116.56,,,
"Armenia, Rep. of",108.91,111.04,121.36,116.06,110.58,112.27,112.49,113.54,123.40,133.69
"Bahrain, Kingdom of",95.83,96.33,96.95,98.78,100.19,100.04,98.66,96.89,95.91,99.29
Bangladesh,63.74,66.26,69.87,73.53,76.43,81.48,86.62,91.47,97.80,105.58
Brunei Darussalam,104.77,102.49,101.48,101.80,101.27,100.38,99.81,101.64,100.52,101.40
"China, P.R.: Hong Kong",87.27,89.56,91.43,92.94,94.14,96.49,98.68,100.04,99.93,101.48
"China, P.R.: Macao",83.67,87.62,92.00,94.34,96.35,99.03,101.27,102.55,106.16,118.09
Iraq,,,101.45,100.48,98.73,97.72,96.72,96.14,102.28,108.43
Jordan,91.90,94.01,95.81,96.76,98.29,100.00,100.96,101.54,102.03,105.11
"Korea, Rep. of",88.98,90.87,93.23,94.67,95.71,97.88,99.97,100.00,101.87,106.78
Kuwait,99.70,104.51,108.07,111.00,114.68,117.03,120.03,124.18,128.53,
Kyrgyz Rep.,83.82,89.38,95.01,100.00,101.02,101.15,101.31,103.12,110.43,129.13
Lao People's Dem. Rep.,97.11,98.74,99.93,100.52,101.59,102.92,105.27,110.23,114.40,135.74
Lebanon,99.34,101.02,101.97,102.33,106.11,109.87,118.47,587.24,"1,944.66",
Mongolia,66.67,77.80,83.41,85.08,87.85,93.05,96.94,100.00,105.03,119.56
Myanmar,101.38,102.11,107.83,112.89,114.75,119.66,128.66,,,
Nepal,,,,,114.52,119.96,126.32,130.91,137.98,
Oman,102.18,107.83,109.48,110.16,113.32,113.73,119.23,119.10,120.29,121.83
Pakistan,85.36,92.69,96.90,100.71,103.49,109.73,120.46,130.49,142.94,172.07
Qatar,90.90,95.75,96.39,97.88,98.38,99.89,100.62,101.02,104.09,105.19
Singapore,94.61,96.27,95.69,97.42,98.45,99.23,100.00,100.29,101.77,103.84
Sri Lanka,,80.74,84.71,88.20,92.76,96.70,100.77,101.83,108.12,171.39
"Uzbekistan, Rep. of",,,,,,,,100.00,108.15,119.77
Vietnam,91.24,93.93,95.82,96.90,97.88,99.10,100.44,101.58,102.25,104.33
