,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",86.86,94.88,100.64,103.95,105.94,106.70,111.53,,,
"Armenia, Rep. of",128.11,132.34,141.60,143.21,144.14,150.48,153.42,156.94,165.48,168.45
"Bahrain, Kingdom of",90.40,93.70,97.02,96.51,95.73,99.82,100.06,99.57,99.40,100.68
Bangladesh,56.59,58.93,67.63,72.14,72.72,74.39,77.31,84.11,88.27,95.09
Brunei Darussalam,100.39,100.82,101.73,98.43,100.00,100.50,101.05,101.63,102.53,102.66
"China, P.R.: Hong Kong",78.78,81.30,84.03,87.72,91.10,94.68,96.95,101.30,98.48,98.83
"China, P.R.: Macao",78.62,82.27,86.94,90.53,94.54,99.07,102.55,106.67,108.31,109.41
Iraq,,,110.88,116.01,117.15,119.68,123.13,131.23,147.31,149.29
Jordan,77.20,82.04,84.17,87.33,94.71,100.00,101.90,101.65,105.50,109.35
"Korea, Rep. of",94.44,95.11,96.30,97.25,98.11,98.06,98.52,100.00,99.92,100.76
Kuwait,100.49,99.92,101.60,103.31,103.64,105.58,108.46,110.32,112.75,
Kyrgyz Rep.,71.98,78.50,83.59,100.00,109.29,113.29,116.17,121.36,134.01,147.64
Lao People's Dem. Rep.,95.88,96.76,97.68,100.20,101.16,102.30,103.92,109.12,113.69,145.10
Lebanon,98.28,101.04,95.17,93.22,93.74,98.43,97.97,107.83,272.46,
Mongolia,63.98,71.36,75.31,76.97,81.22,90.36,97.07,100.00,105.16,126.59
Myanmar,106.04,112.23,121.13,128.46,133.60,141.11,153.51,,,
Nepal,,,,,106.15,108.60,111.81,116.61,121.57,
Oman,101.54,106.60,110.25,111.48,111.80,108.78,108.43,109.10,109.10,112.46
Pakistan,87.05,92.78,96.23,101.75,114.57,121.70,131.82,142.09,154.50,173.80
Qatar,93.15,94.75,94.79,94.08,96.23,100.04,100.25,101.79,101.32,98.29
Singapore,91.12,93.64,93.56,94.57,96.92,98.91,100.00,98.46,99.58,101.75
Sri Lanka,,67.97,74.04,82.57,90.75,97.61,104.72,104.68,109.22,148.69
Thailand,96.31,97.24,98.20,98.98,99.25,99.78,100.00,100.26,100.49,101.62
"Uzbekistan, Rep. of",,,,,,,,100.00,110.91,123.82
Vietnam,44.20,46.53,47.53,61.59,87.15,96.35,100.02,102.16,102.37,102.79
