,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",88.48,96.20,103.37,110.84,115.84,119.35,123.91,,,
"Armenia, Rep. of",112.70,112.44,119.48,120.85,118.88,119.07,119.65,124.14,129.59,139.87
"Bahrain, Kingdom of",91.63,94.37,93.57,94.24,95.62,97.37,99.90,100.67,100.70,104.94
Bangladesh,57.53,60.35,63.57,65.37,66.87,70.52,75.74,82.56,91.90,100.96
Brunei Darussalam,99.56,100.45,100.17,100.14,87.56,99.48,99.28,110.15,110.46,126.00
"China, P.R.: Hong Kong",91.46,93.28,94.78,95.88,96.52,98.00,99.38,100.08,101.96,104.75
"China, P.R.: Macao",88.22,91.29,93.47,94.43,95.85,99.11,101.72,103.63,104.39,105.01
Iraq,,,99.71,101.58,103.07,103.99,106.66,115.19,128.98,142.93
Jordan,88.52,89.68,90.40,92.41,98.21,100.00,101.36,103.55,103.83,106.34
"Korea, Rep. of",85.30,87.93,90.27,93.38,95.97,96.53,98.08,100.00,102.00,108.27
Kuwait,98.73,98.07,99.90,100.93,103.86,107.48,108.31,113.57,118.32,
Kyrgyz Rep.,82.10,87.25,96.00,100.00,101.82,104.71,106.78,108.91,115.89,133.65
Lao People's Dem. Rep.,98.33,99.34,99.66,100.67,102.04,103.55,106.59,115.76,125.11,151.73
Lebanon,98.65,101.28,102.68,104.26,106.94,109.75,113.28,298.36,810.02,
Mongolia,65.24,77.49,81.25,82.34,87.41,92.24,97.00,100.00,102.98,110.07
Myanmar,100.91,99.52,108.61,116.82,122.42,128.65,141.80,,,
Nepal,,,,,114.68,120.55,129.59,145.10,152.21,
Oman,100.31,100.35,100.19,100.41,101.98,102.93,100.14,99.32,102.14,104.31
Pakistan,87.18,92.27,95.39,99.92,105.13,112.79,125.35,140.86,154.65,181.39
Qatar,97.87,98.32,97.93,100.40,100.56,101.10,102.79,104.06,106.82,108.60
Singapore,97.17,98.33,98.28,98.53,98.67,99.63,100.00,98.82,98.28,98.74
Sri Lanka,,75.41,77.11,85.27,94.62,99.39,105.09,107.12,110.17,154.97
"Uzbekistan, Rep. of",,,,,,,,100.00,111.00,125.39
Vietnam,85.50,88.92,91.48,93.47,95.46,97.79,100.41,103.31,104.86,107.34
