,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",94.41,110.89,102.34,100.75,105.72,112.67,112.84,,,
"Armenia, Rep. of",114.00,108.21,107.80,103.40,105.39,113.69,114.77,114.75,125.19,134.29
"Bahrain, Kingdom of",79.48,80.75,80.52,91.10,89.88,97.90,100.68,103.21,102.63,108.81
Bangladesh,50.93,53.83,59.49,64.52,66.67,70.36,75.32,79.65,91.28,102.29
Brunei Darussalam,99.81,100.24,97.07,98.49,97.20,96.50,93.92,95.03,101.29,106.10
"China, P.R.: Hong Kong",91.43,93.35,93.05,94.51,96.71,98.28,100.44,99.29,101.85,104.79
"China, P.R.: Macao",80.78,82.40,83.08,88.89,92.23,97.14,101.86,100.73,104.33,110.42
Iraq,,,95.97,95.02,95.04,98.50,97.63,97.54,110.80,113.42
Jordan,95.69,97.69,83.87,80.57,90.98,100.00,100.59,98.61,103.05,108.78
"Korea, Rep. of",110.27,108.50,99.99,97.78,101.28,103.73,101.87,100.00,106.33,116.68
Kuwait,103.88,105.48,106.02,108.68,117.94,119.50,123.54,126.89,132.46,
Kyrgyz Rep.,93.22,99.47,102.39,100.00,101.42,106.63,105.25,103.04,121.10,145.50
Lao People's Dem. Rep.,109.92,110.53,103.04,99.42,102.25,106.67,109.07,110.39,117.48,165.96
Lebanon,102.76,99.61,88.26,85.07,89.76,97.01,97.22,180.31,828.06,
Mongolia,78.40,83.71,86.87,84.93,91.71,98.94,101.73,100.00,110.70,128.28
Myanmar,98.87,99.27,93.62,89.47,98.64,109.57,113.81,,,
Nepal,,,,,101.39,105.62,110.54,113.09,123.57,
Oman,100.40,99.96,99.89,105.96,110.58,115.24,114.04,108.16,113.57,118.03
Pakistan,115.78,119.30,107.53,103.73,106.82,120.04,136.40,136.52,150.70,217.44
Qatar,78.87,80.73,84.04,86.88,93.20,99.65,99.11,98.63,108.51,109.35
Singapore,102.32,101.07,99.62,97.23,99.76,99.23,100.00,99.27,108.06,125.79
Sri Lanka,,90.65,81.94,86.13,91.22,98.84,102.79,105.30,112.94,204.60
Thailand,105.13,105.22,98.36,96.61,98.88,101.16,100.00,95.45,102.84,112.15
"Uzbekistan, Rep. of",,,,,,,,100.00,112.13,124.92
Vietnam,109.99,111.79,98.46,91.28,97.45,103.67,102.61,91.31,100.75,112.12
