,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",92.42,98.74,102.64,110.17,113.19,117.15,123.65,,,
"Armenia, Rep. of",116.04,121.29,127.34,124.67,122.99,127.60,132.54,133.76,144.55,157.66
"Bahrain, Kingdom of",106.85,107.48,107.86,105.19,106.10,105.16,100.95,91.68,89.50,85.14
Bangladesh,57.87,62.69,68.38,74.24,76.25,82.92,88.17,90.34,95.52,102.76
Brunei Darussalam,112.44,109.75,104.41,103.72,102.14,99.30,98.43,100.02,99.47,100.71
"China, P.R.: Hong Kong",109.02,110.03,108.13,104.55,104.12,105.83,103.82,98.66,101.85,107.19
"China, P.R.: Macao",94.07,95.87,95.79,93.56,94.51,100.72,100.66,94.01,90.18,90.58
Iraq,,,102.42,103.12,103.08,103.08,102.18,101.90,104.93,109.38
Jordan,89.29,97.63,102.38,103.95,101.50,100.00,98.34,97.48,96.32,96.57
"Korea, Rep. of",90.43,94.06,95.32,97.03,98.08,99.17,99.27,100.00,100.56,103.71
Kuwait,103.55,105.84,104.94,104.75,105.94,105.46,106.80,110.88,117.70,
Kyrgyz Rep.,76.88,84.53,91.24,100.00,104.85,108.04,109.28,111.09,116.51,127.67
Lao People's Dem. Rep.,89.71,94.46,98.45,100.42,102.83,108.44,112.29,117.48,122.01,141.86
Lebanon,105.23,108.42,114.86,120.58,134.46,155.42,179.06,717.18,"2,471.29",
Mongolia,62.73,74.26,80.68,82.88,85.38,88.58,95.61,100.00,103.16,119.08
Myanmar,101.99,102.85,109.91,114.95,117.21,120.54,126.54,,,
Nepal,,,,,127.74,135.59,144.66,150.15,155.73,
Oman,101.85,101.57,100.63,100.44,100.36,99.83,98.67,97.59,97.77,99.03
Pakistan,85.13,93.83,99.31,103.94,107.91,114.70,123.37,135.53,149.34,170.62
Qatar,95.52,97.80,97.60,98.29,97.16,99.36,98.62,94.51,91.96,92.63
Singapore,99.27,98.47,98.53,98.74,99.35,100.78,100.00,96.16,90.85,93.42
Sri Lanka,,84.23,90.17,93.49,96.45,100.27,105.00,107.95,112.39,155.82
Thailand,97.89,98.68,99.26,99.65,99.63,99.90,100.00,100.03,99.77,99.81
"Uzbekistan, Rep. of",,,,,,,,100.00,106.66,115.34
Vietnam,87.69,91.48,94.48,96.48,97.51,98.97,100.69,101.48,102.37,104.04
