,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",93.06,98.92,97.37,106.14,114.63,121.24,123.75,,,
"Armenia, Rep. of",109.10,115.48,119.16,122.43,124.73,127.75,130.48,134.50,136.98,140.48
"Bahrain, Kingdom of",87.89,91.74,94.42,96.74,98.94,100.00,100.81,102.01,103.57,105.53
Brunei Darussalam,97.80,100.47,100.47,102.39,102.39,102.89,103.12,105.08,105.35,105.34
"China, P.R.: Hong Kong",86.60,90.13,93.61,97.26,97.64,95.39,97.91,100.33,101.79,103.43
"China, P.R.: Macao",73.42,75.13,78.81,85.43,90.83,95.15,100.53,104.09,104.97,109.48
Iraq,,,100.94,106.68,127.85,131.31,144.01,154.73,147.50,155.07
Jordan,87.21,90.16,92.93,94.66,97.36,100.00,102.57,104.39,104.66,106.07
"Korea, Rep. of",94.50,95.89,97.54,99.14,100.27,101.65,102.18,100.00,100.87,102.23
Kuwait,102.93,107.74,112.52,116.00,117.33,118.93,122.12,117.80,111.61,
Kyrgyz Rep.,80.44,86.09,93.24,100.00,105.38,109.15,111.19,113.05,116.46,123.84
Lao People's Dem. Rep.,98.77,99.71,99.95,100.13,100.58,101.05,102.00,102.87,103.41,110.08
Lebanon,95.08,101.19,104.98,107.07,109.67,114.40,120.43,127.34,148.99,
Mongolia,48.38,59.12,70.22,80.03,83.53,88.20,94.71,100.00,101.87,107.10
Myanmar,109.66,114.56,116.94,120.78,122.41,129.03,136.56,,,
Nepal,,,,,125.08,133.18,140.67,144.06,148.06,
Oman,104.20,110.30,114.78,118.23,122.20,127.33,129.93,132.13,133.88,138.93
Pakistan,76.23,86.56,95.84,104.39,116.14,131.02,139.39,142.72,145.51,158.24
Qatar,77.00,77.93,88.43,93.46,95.54,99.56,105.49,107.27,110.52,111.21
Singapore,83.57,86.42,89.39,92.15,94.92,97.66,100.00,99.37,100.63,102.75
Sri Lanka,,79.37,85.64,87.70,91.34,96.83,104.55,109.56,110.24,136.92
"Uzbekistan, Rep. of",,,,,,,,100.00,106.76,114.72
Vietnam,65.54,72.16,76.77,81.68,89.08,94.70,100.04,104.11,106.04,107.92
