,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",114.78,105.84,101.35,103.45,108.04,109.63,106.89,,,
"Armenia, Rep. of",113.34,125.97,129.99,133.26,127.09,127.31,127.94,129.08,130.74,138.91
"Bahrain, Kingdom of",80.73,84.67,88.59,91.26,94.45,95.60,98.34,95.78,94.57,93.68
Bangladesh,69.23,73.55,75.98,82.98,86.50,88.25,92.78,98.96,100.02,104.79
Brunei Darussalam,98.53,97.86,99.65,95.44,95.34,95.04,93.46,93.18,92.97,94.84
"China, P.R.: Hong Kong",80.33,86.14,90.89,94.05,95.68,98.25,101.14,99.55,101.48,102.21
"China, P.R.: Macao",81.02,90.69,97.99,98.60,97.82,99.92,101.68,102.40,102.30,101.16
Iraq,,,112.44,114.07,116.92,115.39,113.88,113.82,115.96,121.34
Jordan,88.17,92.36,92.89,93.97,96.59,100.00,101.55,99.70,101.26,107.97
"Korea, Rep. of",94.74,97.45,96.83,96.04,97.67,98.35,99.49,100.00,101.63,107.19
Kuwait,97.00,101.23,107.27,114.55,117.52,116.18,115.23,115.00,115.53,
Kyrgyz Rep.,79.23,81.86,95.19,100.00,98.33,100.54,100.99,104.51,110.11,117.01
Lao People's Dem. Rep.,89.25,93.76,99.92,101.34,101.94,103.86,104.77,105.37,108.56,126.40
Lebanon,,101.82,96.19,94.42,99.24,106.04,107.57,115.81,173.25,
Mongolia,58.74,66.21,74.94,75.03,78.62,88.96,97.14,100.00,102.35,117.43
Myanmar,108.40,114.63,123.58,130.40,136.94,147.64,175.48,,,
Nepal,,,,,125.16,134.66,143.47,147.51,151.05,
Oman,100.53,101.53,101.96,102.70,104.38,104.90,104.78,104.20,104.64,105.82
Pakistan,82.76,89.67,94.30,99.03,104.01,110.47,123.37,130.97,144.11,160.92
Qatar,92.26,99.47,102.33,106.44,103.21,99.17,97.10,92.67,87.96,93.58
Singapore,113.39,113.52,109.50,105.03,102.37,101.00,100.00,99.71,101.10,106.41
Sri Lanka,,94.51,98.46,98.59,99.43,100.70,108.77,109.66,110.89,131.84
Thailand,97.43,98.80,99.38,98.39,98.56,99.58,100.00,98.98,97.27,101.89
"Uzbekistan, Rep. of",,,,,,,,100.00,106.48,110.58
Vietnam,86.44,89.66,88.20,90.41,94.29,97.41,100.37,102.17,103.96,107.21
