,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",97.71,100.60,101.24,102.59,103.15,105.51,108.81,,,
"Armenia, Rep. of",111.97,115.98,128.60,129.63,131.27,135.84,138.44,140.50,145.06,155.37
"Bahrain, Kingdom of",93.11,95.13,95.94,96.58,98.33,99.00,99.30,93.05,92.11,103.64
Brunei Darussalam,97.03,99.00,100.03,99.77,99.74,99.64,103.10,103.74,104.47,106.76
"China, P.R.: Hong Kong",81.77,85.51,89.13,92.03,94.56,97.27,99.38,100.10,101.94,105.43
Iraq,,,107.04,111.87,111.55,110.12,112.11,112.18,116.54,125.33
Jordan,88.92,90.76,91.98,93.05,93.26,100.00,102.58,104.76,106.26,114.02
"Korea, Rep. of",86.67,87.92,89.97,92.23,94.44,97.29,99.06,100.00,102.73,110.53
Kuwait,102.49,105.64,111.64,115.13,118.94,121.03,121.83,122.50,123.48,
Kyrgyz Rep.,86.45,85.64,95.46,100.00,106.21,111.23,108.57,109.45,111.58,122.59
Lao People's Dem. Rep.,89.80,96.44,99.35,100.78,101.93,104.40,106.43,105.41,108.72,129.18
Lebanon,98.16,102.21,104.36,107.08,109.80,113.45,115.24,503.34,"2,181.62",
Mongolia,67.69,76.59,79.35,80.05,81.09,85.20,92.73,100.00,109.98,128.77
Myanmar,99.40,98.55,104.54,109.17,112.85,122.84,128.79,,,
Nepal,,,,,119.34,125.36,131.06,136.65,142.82,
Oman,101.14,102.18,102.53,102.78,103.01,103.29,103.73,104.14,104.37,106.55
Pakistan,83.77,93.07,97.41,102.83,108.26,114.44,132.21,133.18,144.98,176.83
Qatar,101.18,101.79,102.39,101.38,99.82,100.42,101.18,103.93,107.18,108.56
Singapore,88.95,91.51,93.63,95.43,96.83,98.29,100.00,101.37,102.74,108.20
Sri Lanka,,91.44,91.95,93.68,97.17,100.60,104.56,107.06,115.74,194.69
"Uzbekistan, Rep. of",,,,,,,,100.00,115.26,137.18
