,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,83.89,87.11,89.89,91.23,94.17,97.81,98.78,100.00,102.39,106.03
Belgium,100.00,104.23,107.67,115.78,118.61,123.07,125.92,129.81,133.74,140.59
Bulgaria,"16,151.07","16,336.16","16,473.80","16,807.41","17,056.83","17,642.14","18,025.81","18,311.93","18,450.64","18,925.49"
"Croatia, Rep. of",92.35,98.08,100.00,100.38,102.79,105.67,110.31,114.25,121.03,125.43
Czech Rep.,92.95,95.53,100.01,104.38,106.23,109.42,111.82,120.27,130.43,138.58
Denmark,98.77,99.69,100.01,100.26,100.78,102.04,103.28,109.28,119.39,126.58
"Estonia, Rep. of",240.28,250.11,262.88,279.63,304.01,329.83,330.35,325.53,331.62,349.91
Finland,95.11,98.85,100.00,101.03,104.10,110.53,114.76,118.51,123.90,128.22
France,95.93,99.42,100.00,100.46,102.10,109.91,117.22,126.07,130.27,131.99
Germany,83.77,86.33,88.56,90.55,92.75,95.66,98.07,99.98,103.54,107.85
Greece,86.45,88.16,89.94,91.26,96.70,99.21,99.92,100.00,99.85,101.05
Hungary,165.67,176.88,182.58,186.49,196.07,207.96,225.53,242.57,271.74,298.13
Iceland,180.01,184.19,183.55,186.73,195.10,200.30,204.81,212.99,220.02,226.48
Ireland,95.23,98.78,99.20,100.69,101.38,104.20,107.13,109.73,112.24,121.17
Italy,97.01,97.35,99.97,101.48,102.13,105.09,107.44,109.48,109.86,111.26
Latvia,95.96,98.26,100.00,103.31,104.77,109.23,115.24,116.50,118.56,124.96
Lithuania,94.61,98.06,100.00,103.77,114.82,118.83,122.77,126.41,128.93,141.13
Luxembourg,95.00,97.44,100.00,101.73,103.35,104.98,107.34,109.29,110.96,114.19
Montenegro,93.76,97.36,100.00,102.82,111.44,133.13,127.09,130.51,134.76,141.16
"Netherlands, The",95.93,97.93,100.00,101.91,102.83,105.63,107.58,115.72,121.27,124.29
Norway,93.88,97.13,100.00,103.30,105.43,107.69,110.63,113.63,111.45,115.60
"Poland, Rep. of",142.43,147.93,149.73,150.88,152.46,154.83,156.81,163.65,166.88,179.08
Portugal,104.05,107.27,111.65,114.57,117.52,120.17,122.59,123.22,124.38,127.58
Russian Federation,143.88,165.24,188.15,206.74,219.16,226.33,234.12,243.42,255.81,
"Serbia, Rep. of",299.67,328.73,325.58,346.43,368.53,388.58,408.00,430.03,454.00,486.63
Spain,92.03,93.36,94.62,95.09,96.70,98.50,99.16,99.70,100.00,103.87
Sweden,459.08,465.68,484.20,490.75,499.56,506.49,515.85,525.01,531.49,542.51
Switzerland,96.90,97.83,97.86,97.41,97.86,98.51,99.29,100.25,100.56,102.11
Ukraine,122.66,143.08,190.52,214.57,270.74,320.96,370.92,410.48,450.57,529.06
United Kingdom,93.78,97.93,99.99,101.46,105.93,110.49,114.37,116.77,119.94,125.58
