,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,85.89,88.20,90.51,91.58,93.30,95.53,98.01,99.99,101.90,104.66
Belgium,100.00,101.58,109.94,132.09,132.64,134.74,136.64,138.43,139.37,140.97
Bulgaria,"15,508.41","15,770.74","16,193.37","16,627.71","17,368.25","17,896.90","18,404.74","19,107.82","20,029.49","21,440.17"
"Croatia, Rep. of",100.37,100.43,99.98,99.98,100.73,101.13,101.90,101.52,101.98,103.08
Czech Rep.,97.57,98.89,99.99,101.33,103.26,105.06,107.92,111.92,114.52,118.85
Denmark,94.44,97.10,99.98,102.73,106.03,108.82,111.66,114.42,117.83,120.58
"Estonia, Rep. of",233.85,194.68,157.65,144.93,147.66,144.69,152.85,150.06,157.27,167.87
Finland,95.43,100.95,100.00,102.35,104.00,105.53,106.96,107.70,108.95,110.59
France,96.80,98.56,100.00,101.30,102.50,103.52,105.33,107.42,109.76,112.28
Germany,99.81,97.71,97.54,99.36,100.16,101.08,100.73,99.98,102.51,104.88
Greece,107.80,103.84,101.36,100.23,100.15,100.01,99.59,100.00,100.31,101.61
Hungary,112.73,116.78,118.09,118.43,120.34,122.95,126.72,131.08,135.91,144.66
Iceland,127.89,135.71,143.36,151.04,155.33,155.93,155.61,158.64,161.56,165.49
Ireland,87.25,91.29,95.58,98.73,100.42,102.02,104.38,107.54,107.71,105.28
Italy,96.98,98.35,100.04,100.70,95.99,83.89,84.19,84.17,81.72,81.66
Latvia,97.93,98.48,100.00,101.67,103.25,103.82,105.59,106.10,106.81,108.93
Lithuania,96.72,97.78,100.00,103.62,106.14,109.33,113.26,121.87,128.97,138.68
Luxembourg,96.56,98.75,100.00,102.23,104.31,108.56,115.29,117.21,119.85,120.76
Montenegro,99.95,100.00,100.00,100.01,100.02,100.03,100.04,100.13,100.08,100.71
"Netherlands, The",94.69,97.95,100.00,100.76,102.14,101.98,99.77,100.88,87.45,72.14
Norway,94.83,97.93,100.00,103.40,108.53,115.20,120.20,123.87,126.30,128.93
"Poland, Rep. of",119.00,114.34,115.57,116.42,117.57,120.39,124.51,131.13,137.69,149.73
Portugal,101.18,101.61,102.27,103.18,104.16,105.43,106.41,105.49,104.60,106.30
Russian Federation,128.22,139.30,152.72,166.37,179.01,195.67,212.08,222.00,228.94,
"Serbia, Rep. of",149.16,149.67,153.39,156.16,157.83,158.53,159.08,160.52,161.63,163.94
Spain,93.39,95.04,96.05,96.64,97.53,98.29,99.25,99.85,100.00,101.25
Switzerland,92.73,94.20,95.33,96.10,96.96,98.00,98.73,99.57,100.28,100.79
Ukraine,111.60,115.13,135.73,158.18,176.97,202.80,229.99,261.18,301.05,343.44
United Kingdom,83.63,92.17,99.98,104.72,108.73,111.87,115.28,118.16,121.46,126.49
