,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,92.00,92.81,94.04,95.33,95.97,98.08,99.13,100.01,101.78,109.55
Belgium,100.00,101.38,102.27,103.20,103.62,104.29,105.08,106.84,107.55,112.43
Bulgaria,"2,944.42","2,912.04","2,900.79","2,856.05","2,847.23","2,892.50","2,917.50","2,945.11","3,002.43","3,351.31"
"Croatia, Rep. of",101.08,100.30,100.00,100.23,100.32,100.68,101.44,101.78,102.83,115.57
Czech Rep.,100.58,99.90,100.00,99.82,99.60,101.07,102.57,105.54,109.26,122.35
Denmark,100.04,99.18,99.99,99.80,98.38,97.21,97.13,96.73,95.24,102.75
"Estonia, Rep. of",122.97,124.08,125.56,125.85,126.61,127.53,130.01,130.78,135.13,153.45
Finland,99.79,100.35,100.00,99.68,99.46,98.64,98.84,98.50,98.17,103.60
France,100.11,100.02,100.00,99.86,99.64,99.88,100.05,100.67,102.11,107.92
Germany,96.10,96.50,97.28,97.89,98.33,99.02,99.79,100.00,102.73,110.53
Greece,112.59,111.23,108.87,107.86,104.72,103.09,101.31,100.00,99.60,106.81
Hungary,111.33,111.19,111.72,112.38,112.57,113.65,116.05,118.47,124.34,142.43
Iceland,169.08,167.51,160.97,158.76,146.33,145.17,149.98,159.16,166.68,174.42
Ireland,110.91,107.73,105.27,101.84,97.55,93.76,90.77,88.01,87.70,90.72
Italy,98.76,99.60,99.96,100.28,100.29,100.45,100.53,101.17,102.12,107.44
Latvia,97.90,99.04,100.00,99.77,99.33,99.01,100.84,102.02,104.69,114.58
Lithuania,98.86,98.69,100.00,100.95,102.21,102.76,104.48,107.48,111.92,125.93
Luxembourg,97.24,98.76,100.00,100.57,101.71,102.53,103.85,105.32,106.68,113.54
Montenegro,101.02,99.90,100.00,99.78,98.63,99.55,99.84,99.05,100.87,109.04
"Netherlands, The",101.17,100.31,100.00,100.97,101.51,101.66,103.02,104.46,107.17,116.50
Norway,92.11,95.03,100.00,105.32,104.00,105.23,107.65,115.03,119.28,126.95
"Poland, Rep. of",111.88,111.75,111.50,111.30,111.59,112.43,112.99,114.12,117.86,130.38
Portugal,99.49,99.11,99.77,100.20,99.75,99.33,99.05,98.41,98.36,107.40
Russian Federation,114.95,120.73,141.44,152.12,155.84,159.24,165.15,170.40,182.53,
"Serbia, Rep. of",155.07,155.18,155.98,157.14,159.55,160.70,162.16,162.92,166.06,185.02
Spain,98.96,98.42,98.20,98.35,97.92,98.05,98.69,99.07,100.00,106.34
Sweden,216.15,214.48,213.88,215.50,214.77,216.11,218.85,222.27,225.20,250.36
Switzerland,106.06,105.04,102.82,100.57,98.74,98.25,99.89,99.50,100.93,105.86
Ukraine,103.38,115.53,168.57,184.49,189.80,201.28,207.13,205.66,211.55,245.65
United Kingdom,99.12,99.93,100.00,99.88,102.47,104.13,105.09,105.10,108.83,119.96
