,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,90.05,91.40,92.95,94.14,96.40,96.89,98.22,100.00,102.43,106.30
Belgium,100.00,101.16,101.54,102.86,103.93,105.41,108.12,110.49,112.91,117.77
Bulgaria,"4,290.84","4,258.81","4,377.67","4,354.86","4,245.69","4,392.94","4,589.09","4,616.94","4,887.00","5,416.72"
"Croatia, Rep. of",97.14,97.91,100.00,99.39,100.22,101.13,101.87,102.01,103.77,111.30
Czech Rep.,98.16,98.58,99.99,101.40,102.40,103.38,105.05,107.36,110.53,123.18
Denmark,99.43,98.92,100.01,100.80,102.00,102.42,104.19,104.85,104.95,108.43
"Estonia, Rep. of",131.08,133.85,136.52,138.09,139.01,142.88,150.97,156.06,162.49,179.51
Finland,100.52,101.23,100.00,99.36,98.62,98.69,98.16,98.06,98.92,103.17
France,100.16,99.83,100.00,101.01,101.28,102.06,102.58,103.29,104.42,106.27
Germany,96.15,97.44,100.83,101.48,102.94,104.27,104.88,100.02,102.87,107.87
Greece,111.45,108.79,107.12,105.53,104.03,102.84,101.10,100.00,99.41,100.91
Hungary,114.84,115.12,116.04,117.80,120.04,120.80,122.58,124.97,127.63,139.00
Iceland,139.20,141.68,143.22,145.01,143.00,142.31,145.47,151.26,155.75,160.81
Ireland,103.42,102.89,102.55,101.40,99.41,98.43,99.11,100.53,101.61,104.29
Italy,99.32,99.79,99.99,100.55,100.91,101.31,101.21,101.02,101.44,102.85
Latvia,97.90,99.42,100.00,101.16,102.84,103.85,107.09,109.24,111.72,118.76
Lithuania,96.73,97.14,100.00,105.49,108.66,111.55,114.36,115.79,120.87,132.50
Luxembourg,97.47,99.10,100.00,100.32,102.86,105.22,106.89,109.34,110.32,115.34
Montenegro,100.98,98.36,100.00,100.16,99.68,99.07,97.93,97.68,97.85,99.09
"Netherlands, The",99.23,99.50,100.00,101.05,102.46,103.21,105.14,107.36,108.91,113.06
Norway,94.78,96.73,100.00,104.48,107.41,109.98,113.22,116.95,120.62,125.53
"Poland, Rep. of",107.33,108.39,109.13,106.88,108.25,109.65,112.08,115.18,120.53,134.52
Portugal,100.40,98.91,98.29,99.29,100.70,100.59,100.56,98.63,99.58,103.49
Russian Federation,112.20,121.25,144.98,158.47,161.37,167.70,173.36,176.65,184.98,
"Serbia, Rep. of",159.57,170.76,177.78,187.76,199.28,206.06,209.84,219.83,226.54,241.24
Spain,102.77,101.38,100.99,100.03,101.10,100.91,100.45,99.84,100.00,102.80
Sweden,174.41,173.49,173.84,174.89,177.51,179.00,179.29,177.26,176.84,183.30
Switzerland,103.37,103.42,101.40,102.23,103.23,105.02,104.66,101.81,100.97,102.92
Ukraine,103.30,114.41,163.28,183.19,191.11,199.58,204.38,200.68,207.30,229.98
United Kingdom,99.63,100.50,100.00,100.45,102.47,105.61,107.63,109.82,112.18,117.82
