,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,97.24,96.54,96.64,97.36,98.78,99.32,100.14,100.01,100.67,102.54
Belgium,100.00,101.19,101.81,102.68,103.28,103.74,104.53,104.76,105.08,106.87
Bulgaria,"3,130.98","3,095.29","3,114.70","3,100.25","3,056.72","3,013.96","2,992.62","2,940.85","2,906.90","3,098.33"
"Croatia, Rep. of",104.61,100.20,99.99,100.22,101.02,99.69,98.81,98.15,98.01,104.96
Czech Rep.,93.90,96.77,99.99,101.84,102.14,101.03,99.78,103.44,110.21,130.66
Denmark,99.48,99.56,99.99,97.53,96.84,96.38,93.36,92.08,91.91,94.28
"Estonia, Rep. of",177.96,180.03,183.61,189.93,193.23,193.96,196.18,196.39,197.15,210.18
Finland,99.90,99.48,100.00,99.36,98.20,97.04,96.55,96.13,94.87,96.80
France,100.82,100.86,100.00,100.19,100.25,100.41,100.16,99.71,99.87,102.56
Germany,97.27,98.24,98.30,99.04,99.66,99.93,101.30,100.01,101.48,102.28
Greece,110.76,107.95,104.67,101.76,100.53,99.74,99.09,100.00,97.99,103.05
Hungary,102.59,101.94,101.86,102.33,102.88,103.53,104.75,104.80,105.04,110.81
Iceland,172.55,171.96,167.56,161.26,153.78,148.71,151.66,156.49,161.95,163.00
Ireland,110.04,106.46,102.45,99.93,95.64,94.18,92.77,89.40,86.63,88.47
Italy,99.08,99.60,99.98,100.46,100.81,101.01,101.28,102.03,102.46,104.38
Latvia,99.46,100.49,100.00,99.97,98.05,98.69,100.13,99.30,100.87,105.60
Lithuania,99.57,99.39,100.00,101.33,102.03,102.15,101.02,100.35,101.70,105.26
Luxembourg,99.01,99.65,100.00,101.17,102.50,103.23,104.29,105.24,106.13,108.05
Montenegro,96.95,96.50,100.00,102.56,105.06,109.10,103.40,103.48,102.53,106.95
"Netherlands, The",103.02,102.04,100.00,100.58,99.47,98.75,100.26,100.29,102.23,107.02
Norway,100.27,99.56,100.01,104.89,104.27,100.80,101.84,100.09,98.83,99.44
"Poland, Rep. of",69.59,66.38,63.24,60.40,57.23,55.17,54.10,52.80,52.63,55.20
Portugal,96.69,94.65,92.73,92.37,90.16,87.03,84.42,81.55,81.40,82.03
Russian Federation,118.88,124.85,138.60,151.63,159.15,163.02,166.53,169.13,173.26,
"Serbia, Rep. of",136.66,134.77,131.97,130.43,128.55,127.10,125.28,122.85,123.20,129.14
Spain,94.81,94.91,95.22,95.83,96.29,97.12,98.02,98.99,100.00,102.67
Sweden,176.48,177.32,179.26,185.32,184.82,184.40,182.12,181.21,188.68,196.33
Switzerland,92.28,91.08,91.31,92.53,95.16,96.70,98.58,98.87,98.43,100.39
Ukraine,96.12,97.89,130.32,151.33,155.01,157.83,158.13,150.88,144.15,140.22
United Kingdom,99.18,99.68,100.00,100.17,102.63,103.48,102.58,101.17,101.45,109.13
