,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,105.70,112.01,112.94,111.05,109.53,106.44,103.09,100.02,97.14,96.50
Belgium,100.00,98.54,98.12,102.20,104.24,104.23,104.12,103.28,103.57,103.92
Bulgaria,"3,133.18","3,023.33","2,928.43","2,820.03","2,745.40","2,815.44","2,794.49","2,754.30","2,682.82","2,702.32"
"Croatia, Rep. of",99.38,98.90,100.03,97.67,96.10,95.92,95.74,97.14,98.20,98.51
Czech Rep.,107.08,101.38,99.99,99.53,98.78,97.19,95.38,91.98,91.45,92.05
Denmark,105.92,104.31,100.01,93.59,87.60,85.80,85.58,83.17,81.20,83.17
"Estonia, Rep. of",108.59,102.84,103.91,102.36,98.15,93.59,90.85,89.23,87.08,85.22
Finland,102.97,104.38,99.99,100.85,99.08,96.65,96.52,97.03,99.41,105.42
France,100.27,99.64,100.00,100.71,96.49,94.53,92.06,91.96,93.85,93.96
Germany,109.30,107.97,106.59,105.25,103.99,102.89,102.18,100.00,99.38,99.41
Greece,93.57,93.60,93.57,93.95,95.50,98.31,101.85,100.00,97.85,95.46
Hungary,106.43,107.24,107.38,108.18,104.91,99.03,99.13,99.78,98.10,96.72
Iceland,143.57,146.00,147.90,128.85,107.84,99.02,94.84,90.31,86.00,80.38
Ireland,103.64,100.71,102.37,101.09,100.93,100.03,94.70,88.13,88.43,90.95
Italy,108.97,101.11,99.96,99.65,97.41,94.50,87.18,82.93,80.80,78.29
Latvia,101.05,99.22,100.00,102.24,106.95,108.46,110.61,112.10,113.54,116.26
Lithuania,106.48,99.74,100.00,96.18,95.64,94.57,93.34,94.54,96.77,100.25
Luxembourg,102.46,100.99,100.00,100.25,97.62,94.84,95.09,92.26,89.57,90.74
Montenegro,103.95,99.97,100.00,100.36,100.53,101.95,100.93,100.42,100.15,100.08
"Netherlands, The",109.21,103.12,100.00,95.16,88.64,83.56,79.17,78.25,78.30,75.86
Norway,99.75,98.88,100.00,104.13,105.19,106.33,109.71,115.00,116.68,117.85
"Poland, Rep. of",90.77,88.85,90.62,90.30,90.89,89.13,88.49,91.86,97.13,101.18
Portugal,100.45,101.55,105.74,109.09,111.93,112.41,109.49,107.07,107.39,109.41
Russian Federation,103.58,104.15,107.60,110.12,113.12,115.27,117.29,120.93,121.09,
"Serbia, Rep. of",127.25,127.43,131.69,134.10,140.54,140.52,140.95,148.48,151.36,153.68
Spain,105.73,99.28,97.46,99.96,101.26,103.53,104.33,103.09,100.00,98.75
Sweden,155.31,151.46,143.53,136.34,129.35,125.10,116.47,110.03,107.29,106.69
Switzerland,106.09,103.61,102.73,101.20,99.59,99.98,100.74,100.52,99.71,99.12
Ukraine,105.46,106.44,112.73,117.17,127.30,141.28,163.10,173.66,182.73,202.69
United Kingdom,97.47,98.64,99.99,102.76,104.58,105.64,109.76,114.07,116.13,118.75
