,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,89.90,91.66,92.42,93.09,95.30,96.74,97.73,100.01,100.79,111.63
Belgium,100.00,99.62,100.82,103.08,104.38,106.63,107.46,110.56,110.12,119.81
Bulgaria,"5,499.26","5,445.12","5,462.83","5,450.08","5,667.40","5,791.91","6,092.52","6,419.38","6,597.47","8,048.02"
"Croatia, Rep. of",101.85,99.62,100.01,99.53,102.43,103.45,103.33,105.32,107.03,124.02
Czech Rep.,99.10,101.10,99.98,99.05,104.18,105.55,108.53,113.45,114.36,133.45
Denmark,99.85,98.98,100.01,100.11,102.92,102.96,104.39,105.06,105.67,117.83
"Estonia, Rep. of",188.03,188.07,187.05,187.13,197.83,203.79,209.97,214.46,218.40,261.89
Finland,101.75,101.90,100.00,98.85,97.95,99.84,101.05,102.73,103.31,114.17
France,100.44,99.60,100.00,100.55,101.65,103.65,106.19,108.33,109.00,116.93
Germany,89.83,90.76,91.30,92.04,94.58,96.74,97.90,100.00,103.09,116.04
Greece,98.20,96.55,98.29,98.07,98.38,98.77,98.67,100.00,101.36,113.31
Hungary,146.30,145.13,145.93,146.38,150.22,156.26,164.24,176.15,182.23,232.81
Iceland,159.14,159.94,164.48,166.66,162.62,166.67,173.00,181.50,187.87,201.46
Ireland,107.69,105.28,103.03,101.65,99.54,97.53,96.88,95.51,95.27,101.84
Italy,98.82,98.94,100.02,100.21,102.09,103.34,104.13,105.59,106.20,115.91
Latvia,101.55,101.28,100.00,101.07,106.72,107.34,110.46,113.11,115.64,140.66
Lithuania,100.10,100.87,100.00,101.23,104.84,106.35,109.47,111.94,115.04,145.35
Luxembourg,98.69,99.24,100.00,101.53,104.39,106.70,108.19,111.14,112.14,120.01
Montenegro,98.56,97.17,100.00,99.17,100.90,101.33,104.49,106.17,109.92,134.80
"Netherlands, The",99.42,99.36,100.00,100.95,103.64,104.46,108.69,110.74,110.51,122.39
Norway,94.26,97.18,99.98,102.56,102.57,105.16,106.28,109.74,107.52,114.50
"Poland, Rep. of",132.68,131.42,129.22,130.42,136.04,139.56,146.26,152.97,157.63,181.98
Portugal,101.94,100.57,101.59,102.09,103.65,104.42,104.75,106.93,107.72,121.71
Russian Federation,121.55,133.66,161.71,171.03,175.65,178.49,188.61,196.77,215.67,
"Serbia, Rep. of",188.23,186.47,190.13,189.53,195.76,199.41,204.53,209.72,219.04,260.24
Spain,90.26,89.94,91.00,92.27,93.41,94.95,95.93,98.19,100.00,111.64
Sweden,286.96,288.02,294.73,297.84,304.22,311.45,320.19,327.02,328.36,365.51
Switzerland,99.23,100.15,99.35,99.74,100.15,101.41,101.53,101.62,100.00,101.66
Ukraine,98.58,110.46,161.19,175.63,198.26,220.36,237.98,244.53,270.92,343.07
United Kingdom,102.84,102.65,100.00,97.63,99.83,101.90,103.30,104.04,104.35,115.76
