,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,88.11,90.14,91.51,93.56,94.82,96.88,97.98,100.01,101.66,104.46
Belgium,100.00,99.63,100.23,100.46,101.73,102.69,103.06,102.36,101.67,103.20
Bulgaria,"9,368.34","9,049.97","8,905.14","8,890.98","8,910.26","8,932.10","9,043.78","9,295.40","9,366.86","9,661.92"
"Croatia, Rep. of",97.52,98.34,100.00,101.83,102.95,104.38,103.39,104.61,105.44,107.58
Czech Rep.,109.52,107.59,100.00,102.63,106.46,110.39,113.89,116.53,120.68,130.93
Denmark,97.23,99.38,100.00,99.65,100.34,101.11,102.56,104.24,104.32,106.35
"Estonia, Rep. of",229.06,236.95,244.33,248.83,251.53,262.77,269.20,277.22,284.99,304.95
Finland,94.08,96.93,100.00,106.84,108.67,109.98,110.97,111.87,111.72,112.33
France,102.35,101.26,100.00,98.83,98.65,98.26,97.18,96.67,95.19,94.54
Germany,91.23,93.06,94.50,95.56,96.85,97.74,98.73,100.00,100.53,101.83
Greece,97.81,99.24,98.51,100.19,98.01,98.46,99.79,100.00,99.32,100.60
Hungary,140.78,145.48,151.60,154.93,160.13,165.24,171.52,178.20,186.48,199.73
Iceland,133.85,140.50,143.84,146.93,147.61,150.71,153.76,158.10,162.78,168.11
Ireland,98.70,98.53,98.48,99.69,101.02,101.18,102.03,104.91,106.63,107.75
Italy,99.37,99.58,100.02,100.35,100.57,100.52,101.04,101.71,102.68,103.48
Latvia,97.64,98.60,100.00,102.59,105.40,108.87,111.16,114.48,117.69,125.83
Lithuania,95.87,97.13,100.00,102.94,104.06,105.79,111.46,118.56,124.60,134.15
Luxembourg,99.68,100.01,100.00,100.10,101.58,100.81,101.98,102.75,104.29,108.04
Montenegro,95.36,97.59,100.00,102.10,104.88,104.97,104.71,105.99,107.37,112.62
"Netherlands, The",100.91,101.22,100.00,98.04,98.65,100.01,102.55,104.51,105.40,107.63
Norway,95.85,98.28,100.01,101.99,103.96,105.68,108.40,111.45,114.78,117.67
"Poland, Rep. of",122.53,122.82,125.08,124.24,125.72,128.31,132.43,138.83,143.63,153.72
Portugal,101.49,102.15,102.57,101.95,102.40,103.49,104.34,105.53,107.77,106.30
Russian Federation,123.71,134.95,158.74,170.92,176.49,180.48,189.93,202.21,214.14,
"Serbia, Rep. of",156.39,162.65,161.78,166.90,169.47,172.33,176.14,179.05,183.57,195.03
Spain,97.12,97.25,97.39,97.15,97.87,98.16,98.96,99.32,100.00,101.10
Sweden,846.03,850.37,851.91,855.40,859.69,856.75,866.84,882.06,868.47,900.68
Switzerland,104.51,103.56,103.15,102.72,102.23,101.20,100.95,100.16,99.80,99.36
Ukraine,110.45,128.55,176.95,197.58,209.83,228.25,243.60,256.63,273.43,313.06
United Kingdom,95.57,98.13,100.00,102.18,104.73,107.31,110.08,112.57,114.14,117.37
