,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,88.14,89.54,90.60,91.35,92.93,95.05,97.66,100.00,103.56,116.66
Belgium,100.00,98.59,98.98,101.10,104.88,108.07,109.46,107.48,114.27,143.38
Bulgaria,"13,846.15","13,565.76","14,028.35","14,034.15","14,481.98","15,148.09","15,738.61","15,894.97","16,658.02","19,933.29"
"Croatia, Rep. of",98.38,100.08,100.00,97.48,94.82,97.40,100.38,99.38,100.93,111.03
Czech Rep.,100.37,98.98,100.00,100.58,102.25,105.28,110.88,114.07,117.25,139.50
Denmark,98.48,99.95,100.00,100.81,102.05,103.25,104.06,104.33,107.11,117.73
"Estonia, Rep. of",322.68,318.07,313.40,307.98,314.60,334.38,344.09,331.28,373.65,563.64
Finland,98.00,99.18,100.00,100.55,101.85,103.43,105.36,105.52,108.78,118.90
France,97.87,99.59,100.00,99.88,101.48,103.90,105.46,105.24,109.17,119.34
Germany,93.86,94.66,94.24,94.23,95.41,97.10,98.86,100.00,101.67,109.06
Greece,115.00,112.37,105.10,101.76,103.96,104.03,103.91,100.00,105.33,130.66
Hungary,140.18,128.38,126.85,127.55,128.97,131.33,134.24,136.21,138.85,160.88
Iceland,122.11,129.24,137.02,146.13,163.55,174.14,180.54,184.87,195.76,222.07
Ireland,98.23,98.23,99.81,99.36,101.38,106.56,110.59,109.45,115.63,139.45
Italy,100.78,100.80,99.98,98.34,100.08,102.63,103.88,100.45,107.45,145.07
Latvia,95.64,96.59,100.00,97.08,99.09,103.15,107.88,105.28,110.09,148.76
Lithuania,105.93,105.01,100.00,97.97,99.05,103.10,105.29,101.71,109.68,163.60
Luxembourg,101.95,100.93,100.00,98.43,100.07,103.25,105.20,104.40,109.21,119.43
Montenegro,98.09,98.18,100.00,100.35,101.98,102.83,103.90,103.05,103.48,113.16
"Netherlands, The",95.47,98.21,100.00,100.60,102.17,105.18,109.16,109.74,114.03,134.06
Norway,97.48,98.73,99.99,104.48,107.60,112.99,115.17,111.15,122.26,130.47
"Poland, Rep. of",145.80,147.87,148.73,147.82,150.42,153.77,156.55,168.28,180.83,220.39
Portugal,102.15,104.42,104.67,105.07,105.70,108.01,108.32,108.40,110.18,124.33
Russian Federation,127.07,136.91,151.87,162.55,170.29,177.06,186.04,191.66,202.01,
"Serbia, Rep. of",180.35,189.78,197.14,201.58,206.06,209.73,213.04,217.61,228.98,254.14
Spain,93.69,94.93,92.93,88.99,92.48,94.66,93.28,89.98,100.00,115.50
Sweden,389.03,385.68,375.82,379.01,388.40,402.87,414.62,414.09,431.43,482.15
Switzerland,96.95,97.96,97.33,97.26,98.44,99.77,100.15,99.95,101.43,105.67
Ukraine,112.04,130.17,280.93,379.41,480.84,513.68,554.55,538.00,662.58,696.18
United Kingdom,96.81,98.73,99.98,101.63,103.73,105.65,107.42,108.36,110.64,120.08
