,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,88.25,89.74,91.48,92.91,94.29,96.26,97.93,100.00,101.34,104.26
Belgium,100.00,101.73,103.01,104.33,105.92,107.47,109.82,111.76,113.83,119.24
Bulgaria,"5,346.33","5,334.60","5,326.34","5,262.23","5,278.36","5,383.35","5,498.10","5,593.67","5,683.58","6,054.78"
"Croatia, Rep. of",100.33,99.96,100.01,100.36,100.68,101.36,101.67,103.65,104.56,112.36
Czech Rep.,97.10,98.38,100.00,101.03,102.20,105.14,109.15,113.00,116.94,128.78
Denmark,95.53,97.85,100.01,101.81,103.13,104.02,104.27,106.35,108.10,111.51
"Estonia, Rep. of",205.24,209.95,215.77,220.33,227.02,235.09,241.42,243.92,250.33,276.19
Finland,97.42,99.68,100.00,99.74,99.99,99.38,100.12,101.19,101.06,103.81
France,97.82,98.81,100.00,101.05,102.15,103.31,104.50,105.68,106.79,110.67
Germany,89.60,91.14,92.32,94.36,94.58,95.66,97.79,100.01,103.81,106.08
Greece,114.99,111.02,107.31,105.52,103.33,102.11,101.37,100.00,98.53,100.78
Hungary,133.18,138.61,140.64,141.99,143.90,147.23,150.74,155.48,161.82,174.90
Iceland,140.61,142.25,144.75,149.33,151.34,154.02,159.01,165.22,172.33,182.29
Ireland,91.31,94.43,95.83,99.91,100.12,97.06,97.01,97.91,97.97,97.16
Italy,99.81,99.81,99.96,100.26,101.11,103.33,105.06,106.89,107.98,110.17
Latvia,96.82,98.64,100.00,100.82,105.94,110.79,112.13,111.99,113.11,126.51
Lithuania,96.90,97.76,100.00,102.17,107.37,110.31,113.18,115.67,120.17,135.85
Luxembourg,97.86,99.08,100.00,100.99,102.99,102.63,104.90,107.24,109.68,114.60
Montenegro,99.54,99.97,100.00,99.38,100.87,102.19,103.31,103.05,104.28,111.92
"Netherlands, The",96.98,97.83,100.00,100.46,101.20,103.97,106.41,110.01,112.92,116.47
Norway,95.70,98.09,99.99,101.94,104.08,105.71,107.24,111.10,114.03,116.77
"Poland, Rep. of",113.38,113.19,112.98,114.73,117.13,116.56,118.17,121.87,124.53,135.82
Portugal,99.39,98.93,99.35,99.94,100.77,101.60,103.18,104.47,105.79,108.25
Russian Federation,122.38,130.87,153.91,166.25,172.05,174.71,180.41,185.48,194.35,
"Serbia, Rep. of",158.98,164.42,170.16,171.51,172.51,175.37,177.86,179.54,183.28,197.00
Spain,90.75,91.64,93.10,94.58,95.42,96.28,97.63,99.01,100.00,103.52
Sweden,365.46,369.81,375.02,384.57,396.23,404.08,414.71,424.86,433.39,451.83
Switzerland,103.28,102.45,101.65,99.87,99.43,99.88,100.48,100.23,100.37,101.28
Ukraine,108.03,120.30,166.72,183.86,193.71,212.09,232.89,247.69,263.83,300.65
United Kingdom,99.72,99.75,100.00,101.04,102.46,102.43,103.73,105.14,106.13,110.00
