,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,81.13,83.49,85.96,88.79,91.39,94.20,96.99,100.02,103.35,112.58
Belgium,100.00,101.89,104.80,108.11,111.65,114.12,117.45,118.98,121.44,129.08
Bulgaria,"8,609.18","8,715.42","8,815.63","8,939.48","9,161.07","9,576.96","10,079.94","10,553.52","10,896.13","12,817.17"
"Croatia, Rep. of",97.18,98.89,100.01,101.33,106.53,109.70,112.96,114.58,117.88,133.70
Czech Rep.,96.93,98.53,100.01,101.53,107.33,111.15,115.85,121.56,126.82,153.47
Denmark,97.54,98.93,99.99,102.65,104.68,107.04,107.78,108.18,110.50,119.28
"Estonia, Rep. of",256.08,267.97,275.53,284.17,300.88,314.54,325.47,322.49,332.02,381.75
Finland,96.16,98.56,100.00,101.70,103.66,106.11,108.40,108.85,111.15,117.93
France,96.01,98.60,100.00,101.70,103.37,105.60,107.10,108.04,108.95,114.02
Germany,85.40,87.20,89.60,91.59,93.50,95.55,98.02,100.01,102.69,110.47
Greece,95.78,94.37,94.84,96.88,98.47,99.69,100.17,100.00,99.91,105.57
Hungary,136.77,140.10,144.00,147.94,153.11,160.06,170.43,180.75,190.71,226.38
Iceland,141.78,146.11,154.12,163.21,168.44,172.70,177.23,180.19,186.36,200.18
Ireland,94.60,96.63,98.24,100.24,102.53,104.72,107.82,109.01,112.35,119.07
Italy,97.88,98.74,99.96,100.66,102.30,103.52,104.78,105.33,107.24,113.89
Latvia,92.97,97.06,100.00,101.88,104.31,107.58,111.87,114.85,117.29,133.05
Lithuania,92.78,95.48,100.00,105.68,113.73,120.99,128.42,134.99,141.58,163.57
Luxembourg,94.25,96.28,100.00,101.41,103.28,105.79,108.64,111.21,113.65,119.59
Montenegro,97.09,97.63,100.00,102.23,106.86,112.25,112.22,109.59,113.80,127.02
"Netherlands, The",96.23,98.04,100.00,101.72,105.33,108.08,112.73,,119.56,129.83
Norway,95.23,97.58,100.00,103.28,106.96,109.96,112.91,115.26,119.10,127.93
"Poland, Rep. of",131.12,133.08,134.73,136.53,139.61,143.98,150.57,159.51,169.43,196.01
Portugal,101.65,102.63,103.98,106.28,110.24,112.57,113.66,115.54,114.58,127.95
Russian Federation,123.24,132.47,147.12,156.39,161.49,165.37,170.81,174.57,185.01,
"Serbia, Rep. of",159.43,169.29,173.87,175.99,178.72,180.87,183.63,186.80,192.70,218.24
Spain,90.39,90.83,91.59,92.61,94.33,96.15,98.07,99.14,100.00,106.40
Sweden,494.97,499.64,512.74,524.71,542.84,559.45,573.95,578.03,589.68,637.76
Switzerland,98.23,98.97,98.92,98.76,99.12,99.63,100.25,100.66,101.59,103.83
Ukraine,111.30,118.63,147.41,166.68,189.39,218.40,242.74,257.13,272.83,316.78
United Kingdom,95.79,98.14,100.01,102.38,105.62,108.41,111.29,112.32,116.21,125.87
