,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,100.43,100.67,97.54,95.80,98.61,101.48,101.72,99.99,106.63,123.93
Belgium,100.00,100.35,98.49,99.23,102.44,105.60,107.30,107.01,112.37,124.67
Bulgaria,"8,727.37","8,432.28","7,665.34","7,171.85","7,438.66","7,801.38","7,803.94","7,237.08","7,985.96","9,800.83"
"Croatia, Rep. of",107.10,107.14,99.99,95.79,98.89,102.32,102.02,97.59,105.60,120.60
Czech Rep.,104.15,104.39,99.99,98.29,101.94,104.78,105.23,104.86,113.62,134.18
Denmark,101.47,100.71,100.00,98.53,100.35,102.18,103.20,102.09,106.38,117.56
"Estonia, Rep. of",198.33,193.26,180.02,174.55,183.19,190.00,191.09,181.81,199.24,244.69
Finland,102.68,101.88,100.00,99.80,102.37,103.25,103.55,101.69,108.27,120.52
France,101.16,101.52,100.00,98.97,102.01,106.32,107.43,105.24,109.96,120.80
Germany,97.61,97.38,95.90,94.99,97.68,100.83,102.10,100.00,107.65,119.98
Greece,103.75,102.49,98.02,95.38,101.40,104.16,105.62,100.00,104.25,120.41
Hungary,140.43,139.82,131.90,127.91,132.95,138.73,139.93,137.23,153.14,172.64
Iceland,176.49,173.47,164.32,158.47,151.12,152.76,158.00,158.57,167.59,187.19
Ireland,110.28,108.56,103.39,100.08,102.24,103.03,103.23,101.47,107.91,122.87
Italy,102.06,102.76,99.99,98.59,102.00,104.83,105.64,103.22,108.27,118.79
Latvia,106.23,104.90,100.00,97.23,100.51,105.38,106.06,102.04,110.53,134.48
Lithuania,109.91,107.70,100.00,96.16,101.07,106.32,106.65,103.58,113.26,139.14
Luxembourg,100.76,100.73,100.00,99.29,100.92,103.04,104.40,102.44,107.65,118.80
Montenegro,105.37,104.41,100.00,95.29,101.80,107.60,106.77,100.31,106.88,124.19
"Netherlands, The",101.38,101.87,100.00,98.95,101.82,104.84,107.77,106.98,113.04,127.06
Norway,96.53,98.74,100.01,102.51,105.08,108.79,112.08,113.85,116.28,126.65
"Poland, Rep. of",123.80,120.89,110.42,104.98,109.53,114.12,114.71,108.49,123.76,148.29
Portugal,97.68,96.50,95.55,95.01,97.92,100.91,102.06,99.94,104.33,114.77
Russian Federation,120.30,126.59,141.66,150.32,157.44,165.77,173.78,178.92,193.93,
"Serbia, Rep. of",166.10,168.06,165.50,163.31,170.61,175.75,177.85,169.66,181.58,207.23
Spain,95.79,94.88,90.64,88.78,92.48,95.77,96.87,93.20,100.00,112.15
Sweden,421.56,419.78,418.24,421.22,433.08,443.36,456.50,460.72,485.48,536.61
Switzerland,107.83,106.59,101.90,99.47,100.92,103.62,104.05,100.47,104.49,113.78
Ukraine,127.06,158.13,216.26,230.38,263.18,304.40,316.95,311.06,342.22,450.94
United Kingdom,101.89,102.15,100.01,100.53,104.88,109.42,111.60,112.04,120.16,134.30
