,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",93.74,,109.44,,,112.73,118.07,121.83,128.16,127.49
Barbados,,181.41,186.70,187.78,198.28,206.55,204.00,,,
Belize,94.06,94.29,93.88,94.16,98.76,100.49,101.01,100.62,101.00,
British Virgin Islands,97.89,100.82,103.69,107.08,,,,,,
Canada,,,102.23,105.73,108.88,113.85,116.17,116.33,119.07,123.42
Costa Rica,78.08,84.26,87.79,88.93,91.18,94.13,97.61,99.69,99.74,
Dominica,102.97,104.90,106.83,110.84,112.57,115.03,117.19,116.66,,
El Salvador,127.35,131.75,136.46,141.64,144.24,145.55,148.66,153.04,156.18,161.67
Guatemala,102.65,103.39,106.22,109.55,111.69,113.01,114.52,114.94,116.67,122.76
Haiti,69.40,72.97,78.94,85.77,95.60,101.34,113.38,129.84,138.55,165.99
Honduras,275.28,302.33,331.29,352.60,373.97,391.23,410.73,436.23,447.66,476.85
Mexico,80.92,86.18,89.09,91.21,95.26,99.80,105.22,114.47,118.25,127.14
Nicaragua,182.70,197.63,216.29,236.30,254.37,272.35,377.55,424.89,478.42,457.51
Panama,,,105.15,108.46,108.73,110.19,111.32,111.25,111.79,112.71
United States,106.06,108.17,110.03,112.54,116.50,119.54,123.43,127.64,133.34,140.37
