,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",99.54,,105.03,,,109.00,108.42,102.45,108.68,117.33
Barbados,,157.80,157.80,157.94,158.03,159.86,176.84,,,
Belize,99.59,100.45,100.06,100.80,103.09,103.27,103.23,103.11,100.06,
British Virgin Islands,108.89,109.80,110.42,117.60,,,,,,
Canada,,,100.80,100.76,100.03,99.84,97.32,91.75,84.95,82.67
Costa Rica,86.94,107.64,106.63,105.62,102.75,101.45,100.76,99.80,98.65,
Dominica,100.00,100.00,100.34,100.67,100.71,100.71,100.71,100.60,,
El Salvador,88.66,87.24,86.38,86.12,85.39,84.94,84.07,83.13,83.10,82.85
Guatemala,100.60,100.62,101.31,101.41,101.83,102.26,106.65,111.34,111.91,111.52
Haiti,94.91,95.28,95.89,96.88,98.13,100.80,104.64,109.44,112.88,126.72
Honduras,65.93,68.89,70.37,71.47,73.44,75.18,76.35,76.84,76.59,77.37
Mexico,132.20,129.68,115.00,102.86,100.32,99.88,99.03,97.81,98.64,95.48
Nicaragua,114.19,118.71,123.14,126.14,131.26,138.72,143.98,148.40,151.72,154.57
Panama,,,107.28,107.87,105.84,104.88,103.54,102.75,102.55,102.43
United States,99.81,99.76,98.07,97.53,92.18,91.01,90.52,92.66,94.35,93.94
