,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",97.26,,105.76,,,106.54,111.98,114.11,116.45,117.82
Barbados,,141.85,141.65,140.14,150.79,158.71,162.04,,,
Belize,100.03,100.84,102.06,102.26,101.41,101.50,100.98,100.46,100.68,
British Virgin Islands,98.41,100.06,100.62,104.16,,,,,,
Canada,,,102.15,104.52,104.63,105.81,107.09,109.16,113.46,121.23
Costa Rica,91.28,93.89,95.76,96.00,96.00,97.35,99.73,100.24,102.10,
Dominica,103.58,106.25,106.47,106.67,106.48,107.26,108.32,108.58,,
El Salvador,102.99,102.64,103.06,101.11,101.12,100.91,99.83,100.04,104.66,113.93
Guatemala,108.36,110.00,111.84,113.40,114.23,114.74,114.64,115.39,117.41,126.10
Haiti,75.12,76.87,80.34,86.88,92.10,104.44,125.93,149.82,174.42,230.17
Honduras,266.08,283.88,297.85,308.06,320.07,334.37,349.76,365.53,395.91,438.96
Mexico,83.08,85.40,87.71,90.78,95.59,99.91,102.96,106.92,113.45,123.04
Nicaragua,168.93,174.19,180.11,187.45,195.63,201.37,213.00,219.93,227.73,248.04
Panama,100.00,103.50,100.61,101.79,102.08,102.30,101.67,101.88,102.37,103.69
United States,99.37,97.94,97.22,96.08,95.22,95.74,97.41,99.12,103.48,112.96
