,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",97.28,,114.67,,,122.41,128.87,135.33,138.68,146.64
Barbados,,184.07,191.88,200.86,202.54,210.75,219.34,,,
Belize,91.48,92.80,95.00,97.22,96.91,100.14,99.86,100.40,102.06,
British Virgin Islands,101.01,107.89,116.69,127.46,,,,,,
Canada,,,100.79,102.09,104.01,104.88,106.09,107.65,109.83,112.86
Costa Rica,76.05,80.05,84.17,86.68,90.07,92.95,96.99,99.29,100.84,
Dominica,101.68,101.05,104.24,106.38,111.25,111.25,111.32,111.85,,
El Salvador,98.19,95.95,96.39,97.17,98.05,99.05,99.66,100.71,103.95,106.47
Guatemala,108.01,110.34,112.48,114.69,117.30,120.29,122.91,125.45,127.97,131.03
Haiti,73.81,76.40,79.63,85.20,91.67,105.21,135.04,188.57,235.90,308.31
Honduras,290.02,307.45,325.39,341.45,353.97,372.41,393.46,427.94,464.63,484.68
Mexico,79.94,83.21,86.31,90.45,94.95,99.56,103.86,108.58,113.39,119.76
Nicaragua,155.72,166.67,176.07,186.58,198.92,210.89,223.73,234.89,242.91,250.43
Panama,100.00,104.26,101.97,104.93,107.51,108.84,110.05,110.38,111.16,111.07
United States,108.92,111.91,115.06,119.03,122.20,124.76,126.21,129.12,131.78,135.63
