,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",99.15,,97.88,,,102.74,103.64,102.90,105.94,109.44
Barbados,,170.19,155.45,146.15,151.18,160.26,163.11,,,
Belize,96.08,97.59,97.51,98.05,98.77,99.59,99.79,100.37,102.13,
British Virgin Islands,100.22,101.64,102.30,101.64,,,,,,
Canada,,,100.30,101.73,103.32,105.28,107.88,109.48,113.23,120.60
Costa Rica,89.41,91.97,89.99,91.02,92.14,96.13,98.94,100.83,99.33,
Dominica,97.51,98.19,94.98,94.29,95.56,96.01,98.73,97.03,,
El Salvador,116.60,118.47,115.33,125.97,132.15,136.49,135.57,130.93,138.49,142.11
Guatemala,109.07,111.19,104.21,106.75,109.03,111.62,113.19,113.11,118.57,124.15
Haiti,65.15,68.17,73.00,81.56,91.78,103.21,119.63,141.81,162.23,213.50
Honduras,303.47,318.38,325.47,332.30,350.69,366.04,390.03,391.63,404.56,423.84
Mexico,88.14,90.70,92.39,93.98,97.66,101.47,103.46,106.15,111.52,114.83
Nicaragua,156.58,167.44,166.42,172.76,188.55,201.96,212.43,222.31,227.21,241.84
Panama,100.00,101.53,100.34,99.36,101.27,101.92,101.63,97.49,93.84,95.55
United States,105.73,108.87,111.41,114.58,118.54,122.29,126.01,129.27,133.17,142.36
