,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",94.79,,109.64,,,114.73,114.87,114.09,108.76,122.71
Barbados,,108.14,108.43,105.28,99.28,97.84,102.84,,,
Belize,97.56,99.52,100.31,100.90,99.11,98.99,100.24,99.51,100.49,
British Virgin Islands,105.76,114.22,120.52,121.19,,,,,,
Canada,,,102.21,103.79,105.88,107.48,110.32,112.86,116.05,120.88
Costa Rica,87.64,91.48,92.05,92.13,93.32,94.54,97.28,98.49,101.03,
Dominica,102.11,102.45,101.35,101.49,97.73,98.15,98.61,98.69,,
El Salvador,95.65,93.81,92.01,90.23,88.68,87.79,88.16,87.85,88.95,96.26
Guatemala,106.37,108.63,110.69,113.46,115.76,117.24,117.12,116.67,117.58,121.71
Haiti,73.40,75.43,75.95,82.97,90.56,105.66,137.20,167.48,185.28,222.83
Honduras,180.92,192.65,200.42,206.90,214.01,224.38,233.33,242.03,257.35,282.38
Mexico,85.16,87.43,89.62,92.39,96.29,99.32,101.78,103.56,108.02,114.46
Nicaragua,140.69,139.91,145.78,153.83,161.78,168.99,176.33,179.94,187.18,203.54
Panama,100.00,101.85,100.43,100.37,100.69,100.94,100.33,99.31,99.21,98.65
United States,100.49,100.39,100.41,100.78,101.61,101.65,102.45,103.59,106.29,111.21
