,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",96.35,,103.60,,,108.49,104.34,100.79,102.65,104.24
Barbados,,260.33,348.09,382.95,450.07,379.13,278.94,,,
Belize,91.31,92.19,93.22,93.89,94.12,94.59,97.74,99.66,99.92,
British Virgin Islands,101.21,101.21,102.26,105.23,,,,,,
Canada,,,100.98,103.86,106.43,109.38,110.90,109.04,111.33,113.73
Costa Rica,75.96,80.99,85.61,89.49,93.05,96.54,100.43,102.43,100.26,
Dominica,102.58,102.58,103.79,103.83,103.83,103.83,103.83,103.83,,
El Salvador,105.62,107.97,110.01,111.76,113.24,113.22,113.37,114.11,114.26,115.46
Guatemala,102.46,103.43,104.06,104.69,105.37,105.87,106.19,106.32,106.09,106.23
Haiti,42.47,49.52,59.20,77.81,91.33,102.66,110.63,121.30,132.73,144.07
Honduras,401.31,435.37,471.67,502.93,534.19,572.18,608.95,664.80,683.44,739.24
Mexico,81.42,84.96,88.65,92.36,96.53,101.15,105.99,109.80,111.50,115.59
Nicaragua,172.46,187.46,203.87,220.78,240.02,259.53,277.36,291.53,302.37,315.92
Panama,100.00,104.85,106.52,109.33,113.08,117.30,118.41,115.04,114.06,117.14
United States,112.28,115.97,120.16,123.53,126.41,129.31,133.06,135.68,137.60,142.52
