,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,97.93,96.64,95.67,95.13,92.03,89.24,89.87,92.24,96.66,108.58
"Fiji, Rep. of",98.29,100.00,102.12,103.29,103.53,104.11,105.13,106.14,103.53,105.93
Kiribati,106.93,102.70,98.17,99.80,103.65,110.81,108.26,,,
"Micronesia, Federated States of",,,,,99.53,99.32,98.82,98.82,101.98,103.36
New Caledonia,95.39,95.20,93.87,91.67,,,,,,
New Zealand,99.52,99.02,99.07,99.82,99.85,98.83,98.78,97.90,100.40,102.05
Papua New Guinea,103.55,107.08,117.43,122.38,125.28,135.93,138.06,141.94,147.57,
Samoa,95.28,98.90,98.64,98.76,96.60,95.28,93.75,93.50,98.91,108.27
Solomon Islands,,97.55,104.93,103.88,100.20,100.13,100.15,99.91,101.22,100.03
Tonga,71.51,81.41,88.42,94.75,94.96,99.03,102.63,109.17,113.70,115.00
Vanuatu,105.95,109.25,113.03,112.03,110.75,112.60,112.70,114.48,111.35,
