,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,95.90,98.44,99.00,99.24,99.31,99.98,104.46,114.19,123.23,133.29
"Fiji, Rep. of",98.10,100.01,104.77,111.04,108.64,112.38,117.86,115.05,122.53,130.04
Kiribati,129.78,129.79,129.15,130.69,130.37,129.30,127.20,,,
"Micronesia, Federated States of",,,,,100.25,99.21,100.54,101.25,102.93,109.90
New Caledonia,107.25,107.40,109.41,111.32,,,,,,
New Zealand,98.01,98.32,98.26,97.67,99.79,99.55,100.63,103.83,105.65,114.80
Papua New Guinea,98.55,103.38,108.40,113.90,117.13,118.05,121.60,124.31,129.73,
Samoa,98.14,94.81,97.92,103.65,105.06,111.01,112.07,110.37,114.15,131.78
Solomon Islands,,102.87,99.90,100.43,99.74,101.94,101.48,102.84,99.70,108.87
Tonga,80.42,83.35,84.90,86.03,93.40,99.16,100.88,102.79,110.23,121.09
Vanuatu,147.60,150.08,155.50,159.00,169.83,176.80,186.38,207.68,217.30,
