,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,100.58,102.27,103.01,105.73,105.24,105.02,107.99,108.02,122.07,135.26
"Fiji, Rep. of",96.01,100.00,100.34,99.93,100.75,100.48,101.42,103.48,104.03,108.03
Kiribati,104.10,119.96,135.47,132.08,129.26,128.98,128.15,,,
"Micronesia, Federated States of",,,,,99.92,100.51,101.04,102.39,104.05,106.98
New Caledonia,104.02,103.79,103.21,102.75,,,,,,
New Zealand,98.85,98.62,98.45,100.43,100.18,99.93,100.68,101.45,104.08,111.13
Papua New Guinea,100.45,105.75,116.80,123.28,130.00,128.54,141.58,140.37,145.14,
Samoa,100.06,98.87,99.71,99.35,99.06,97.97,96.37,98.06,98.92,105.02
Solomon Islands,,103.28,105.20,102.80,99.68,98.57,96.48,96.82,94.10,95.95
Tonga,99.84,100.45,94.90,95.12,98.96,99.37,101.04,102.45,104.46,109.03
Vanuatu,107.50,107.10,107.00,107.90,108.23,113.03,113.78,114.30,113.08,
