,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,109.13,114.05,119.38,124.35,129.18,133.70,137.85,140.43,146.05,150.55
"Fiji, Rep. of",96.76,100.00,102.83,107.05,106.56,105.21,104.76,105.41,106.40,110.68
"Micronesia, Federated States of",,,,,100.00,96.82,93.67,93.64,93.64,94.04
New Caledonia,101.54,101.80,101.95,101.93,,,,,,
New Zealand,94.20,96.04,97.05,98.01,100.09,101.05,102.33,104.00,106.15,110.53
Papua New Guinea,105.45,119.50,140.10,151.35,157.55,181.57,182.19,203.40,206.56,
Samoa,86.29,97.31,99.85,99.21,95.60,97.01,100.05,99.17,105.65,101.87
Solomon Islands,,,,,,,99.40,108.47,106.91,108.03
Tonga,,,,,,100.99,100.00,100.00,100.00,107.46
Vanuatu,101.18,102.05,102.28,101.80,101.98,103.73,103.23,106.95,106.43,
