,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,97.22,98.38,98.34,98.66,99.16,99.07,102.98,107.34,112.71,123.42
"Fiji, Rep. of",96.88,99.99,100.59,98.99,98.54,98.83,98.97,98.67,97.78,97.63
Kiribati,98.64,98.49,98.49,98.82,99.24,98.43,97.09,,,
"Micronesia, Federated States of",,,,,98.27,97.34,98.11,97.53,97.83,97.92
New Caledonia,101.89,102.04,102.12,102.74,,,,,,
New Zealand,102.40,101.95,101.65,100.88,100.02,99.00,99.15,100.08,102.70,106.70
Papua New Guinea,95.35,100.33,99.63,100.43,102.93,111.87,115.33,118.67,122.82,
Samoa,99.32,99.75,99.92,95.58,90.71,92.61,88.72,88.49,88.25,91.04
Solomon Islands,,78.84,85.31,87.48,90.10,100.00,100.77,100.97,101.18,103.31
Tonga,,,,,,100.00,103.60,103.60,103.60,103.60
Vanuatu,137.10,132.68,132.50,133.33,131.05,135.85,137.15,136.33,137.68,
