,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,102.46,103.28,101.23,98.46,101.04,106.41,112.25,112.67,111.07,128.02
"Fiji, Rep. of",100.28,99.99,96.26,92.52,94.23,96.08,96.22,97.32,101.54,119.61
Kiribati,111.09,110.09,110.34,111.04,112.58,113.70,118.56,,,
"Micronesia, Federated States of",,,,,99.94,103.54,106.04,104.53,105.98,121.49
New Caledonia,106.00,104.51,102.71,101.16,,,,,,
New Zealand,108.79,108.70,102.64,98.43,100.50,103.38,102.88,100.30,110.15,123.55
Papua New Guinea,99.70,106.43,102.45,104.30,107.88,116.52,124.73,134.51,132.17,
Samoa,110.45,115.83,108.71,101.26,107.31,115.02,111.28,104.45,111.75,131.03
Solomon Islands,,99.63,97.78,97.77,100.24,104.27,103.57,98.39,100.96,117.28
Tonga,99.58,99.30,87.21,84.58,91.80,98.47,96.90,92.08,101.13,120.60
Vanuatu,143.28,144.40,152.90,158.33,166.35,170.28,172.95,172.63,177.48,
