,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,102.55,101.73,97.08,90.53,87.13,83.60,80.08,77.48,76.55,77.03
"Fiji, Rep. of",99.90,99.97,100.10,98.58,98.30,98.39,84.75,83.65,83.71,83.78
"Micronesia, Federated States of",,,,,101.09,105.23,107.97,111.10,111.14,111.06
New Caledonia,91.38,89.85,89.81,85.05,,,,,,
New Zealand,115.42,111.03,106.15,104.28,99.44,94.80,91.68,89.65,85.70,86.73
Papua New Guinea,100.00,94.43,94.50,94.70,94.70,100.14,98.77,97.65,129.83,
Samoa,100.10,100.10,100.02,100.00,101.16,103.33,104.21,104.19,107.10,124.48
Solomon Islands,,,,,,,100.00,100.00,100.00,100.00
Tonga,,,,,,106.58,100.27,100.33,99.90,100.50
Vanuatu,98.50,98.55,98.60,97.38,94.90,94.93,95.45,96.13,95.05,
