,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,107.03,110.28,113.08,114.98,118.30,121.08,121.68,121.53,122.80,134.15
"Fiji, Rep. of",99.84,100.01,95.55,90.73,92.53,94.43,94.25,93.15,95.95,100.17
Kiribati,100.52,108.85,117.25,120.89,121.81,122.50,124.12,,,
"Micronesia, Federated States of",,,,,101.06,108.16,111.76,112.00,112.15,114.98
New Caledonia,106.55,108.29,109.20,109.87,,,,,,
New Zealand,88.95,91.89,94.44,97.45,100.45,103.55,106.60,109.73,115.25,125.18
Papua New Guinea,112.70,126.25,145.65,153.30,164.18,175.19,181.18,183.62,185.94,
Samoa,110.64,114.29,105.98,92.57,92.24,91.04,95.09,89.60,92.41,93.13
Solomon Islands,,100.92,100.67,99.45,100.13,102.24,108.03,107.84,111.74,121.00
Tonga,83.80,84.38,84.32,86.11,95.00,99.76,100.18,95.03,100.71,128.22
Vanuatu,133.40,133.43,135.88,132.28,132.35,134.45,135.48,135.43,134.63,
