,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,108.30,132.83,191.32,300.69,496.91,978.17
"Aruba, Kingdom of the Netherlands",75.00,73.31,71.22,71.81,73.67,74.03,78.07,,,
Bolivia,90.58,92.60,94.52,94.96,95.89,96.96,97.78,97.17,95.98,97.24
Brazil,"2,394.78","2,504.82","2,594.41","2,728.51","2,796.62","2,841.60",,,,
Chile,128.02,120.43,114.18,113.98,108.13,102.27,100.34,98.94,100.20,101.03
Colombia,89.70,91.06,92.82,96.60,99.26,99.79,100.25,98.77,97.27,101.21
Ecuador,95.51,97.55,97.33,94.24,90.18,87.05,84.92,81.86,78.69,77.35
Paraguay,91.12,93.07,95.03,97.70,99.33,100.68,102.30,103.49,104.09,107.96
Suriname,48.86,51.02,55.61,98.38,115.90,,127.15,173.29,223.97,272.79
Trinidad and Tobago,94.77,96.65,100.96,104.67,104.74,100.03,97.42,93.66,91.08,
