,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,114.96,153.26,251.64,360.71,544.82,924.88
"Aruba, Kingdom of the Netherlands",74.34,74.26,74.78,75.63,77.49,82.81,85.00,,,
Bolivia,80.15,85.91,92.07,96.55,100.05,103.64,106.30,112.06,115.62,116.80
Brazil,"3,998.69","4,273.01","4,610.33","5,123.61","5,532.77","5,830.64",,,,
Chile,80.08,83.23,88.25,92.78,96.65,99.89,102.41,104.75,106.93,112.13
Colombia,75.96,78.77,82.20,88.56,94.78,99.14,101.48,106.12,110.40,118.43
Ecuador,96.31,99.71,102.82,105.70,107.99,109.47,111.08,114.17,116.87,118.91
Paraguay,82.11,85.59,90.17,93.94,98.52,101.93,104.81,108.46,112.87,118.58
Suriname,54.11,56.95,58.05,98.42,115.18,,133.19,146.47,202.00,246.12
Trinidad and Tobago,96.38,99.28,100.30,106.83,122.32,124.31,131.14,134.63,138.54,
