,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,108.29,143.63,227.24,334.41,494.88,841.45
"Aruba, Kingdom of the Netherlands",78.32,76.24,76.31,76.15,74.52,75.52,75.66,,,
Bolivia,85.75,90.69,94.41,96.89,100.37,101.90,103.10,104.19,104.22,107.89
Brazil,"1,850.52","1,981.83","2,073.64","2,188.99","2,181.16","2,194.72",,,,
Chile,85.53,88.28,93.34,97.86,99.05,99.76,101.44,105.17,110.86,118.10
Colombia,82.24,83.84,86.97,92.74,97.45,99.55,101.90,102.19,104.22,118.19
Ecuador,98.34,100.81,104.13,104.61,103.53,102.63,101.15,100.33,101.04,106.58
Paraguay,85.22,87.90,92.17,96.62,99.37,101.21,104.57,106.93,109.88,116.08
Suriname,54.88,56.62,59.20,102.27,130.90,,143.00,232.20,377.82,505.02
Trinidad and Tobago,99.53,99.77,100.93,102.45,104.28,103.80,103.73,104.40,105.25,
