,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,111.22,146.09,230.67,325.76,434.09,727.61
"Aruba, Kingdom of the Netherlands",79.77,80.20,81.49,81.76,82.95,83.52,86.10,,,
Bolivia,89.82,92.99,95.68,97.19,98.40,99.85,100.83,101.69,100.17,101.46
Brazil,"3,646.17","3,907.65","4,248.52","4,576.93","4,757.97","4,962.34",,,,
Chile,78.65,81.35,86.36,94.30,96.82,99.57,102.59,104.27,110.97,122.56
Colombia,79.29,80.43,84.23,91.63,96.99,99.55,102.13,104.79,107.92,117.64
Ecuador,94.34,99.61,104.19,107.39,106.73,107.60,106.76,105.84,104.75,107.85
Paraguay,82.46,84.46,87.55,94.27,98.20,101.92,105.32,107.84,110.08,116.79
Suriname,56.42,57.15,58.77,98.88,131.23,,152.48,212.52,332.83,452.35
Trinidad and Tobago,93.27,98.62,103.20,105.70,107.53,108.13,111.08,112.23,112.12,
